Fecha,reward,pnl_step,pnl_acumulado,margen_inicial,capital_actual,margin_balance_total,sobre_cobertura_kwh,spot_price,future_price_t1,future_price_t2,future_price_t3,future_price_t4,future_price_t5,future_price_t6,covered_kwh_total,action_cont_1,action_cont_2,action_cont_3,action_cont_4,action_cont_5,action_cont_6,action_disc_raw_1,action_disc_raw_2,action_disc_raw_3,action_disc_raw_4,action_disc_raw_5,action_disc_raw_6,action_disc_exec_1,action_disc_exec_2,action_disc_exec_3,action_disc_exec_4,action_disc_exec_5,action_disc_exec_6,nem_slot_1,nem_slot_2,nem_slot_3,nem_slot_4,nem_slot_5,nem_slot_6,margin_calls_cost,transaction_costs,liquidacion_mtm,liquidacion_vencimiento,demanda_cubrir_kwh_1,demanda_cubrir_kwh_2,demanda_cubrir_kwh_3,demanda_cubrir_kwh_4,demanda_cubrir_kwh_5,demanda_cubrir_kwh_6,contratos_netos_1,contratos_netos_2,contratos_netos_3,contratos_netos_4,contratos_netos_5,contratos_netos_6,terminated,truncated,terminated_reason,spot_cost,strategy_cost_daily
2025-10-22,-0.2545252796066831,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,123.32715833333332,225.0,300.0,358.74,379.32,379.52,342.83,0.0,-0.15441228449344635,-0.006692563183605671,-0.14127330482006073,-0.00598372844979167,-0.11575832217931747,0.010480586439371109,0,0,0,0,0,0,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,running,9387598.668902367,9387598.668902367
2025-10-23,-0.258582283117068,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,137.81476666666666,220.0,285.0,357.23,390.0,390.0,370.0,0.0,-0.1553587019443512,-0.00850413367152214,-0.1444176584482193,-0.0060252114199101925,-0.11522159725427628,0.010667899623513222,0,0,0,0,0,0,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,running,10817389.051670166,10817389.051670166
2025-10-24,-0.25239237097553874,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,125.450225,220.0,290.0,355.69,388.48,388.64,368.82,0.0,-0.15553002059459686,-0.009831346571445465,-0.1485322117805481,-0.004991489928215742,-0.11679341644048691,0.011506623588502407,0,0,0,0,0,0,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,running,9923136.256692076,9923136.256692076
2025-10-27,-0.26859002320467074,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,106.63914166666666,190.0,280.0,354.16,386.96,387.28,367.64,0.0,-0.1562618613243103,-0.008117645978927612,-0.15301856398582458,-0.0015000987332314253,-0.12025973945856094,0.012869474478065968,0,0,0,0,0,0,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,running,7020667.657702967,7020667.657702967
2025-10-28,-0.25238009253060584,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,169.49115833333337,190.0,280.0,352.64,385.45,385.92,366.46,0.0,-0.15462422370910645,-0.006821638438850641,-0.14926794171333313,-0.0015546666691079736,-0.11727246642112732,0.01385549083352089,0,0,0,0,0,0,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,running,12060405.913012594,12060405.913012594
2025-10-29,-0.2563258290101502,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,117.53246666666666,190.0,270.0,351.12,383.95,384.53,365.29,0.0,-0.15346138179302216,-0.006625987123697996,-0.14909829199314117,0.00015121698379516602,-0.1164306104183197,0.014406454749405384,0,0,0,0,0,0,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,running,8433945.3995598,8433945.3995598
2025-10-30,-0.25516586532167773,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,113.41794166666666,185.0,265.0,349.61,390.0,390.0,364.12,0.0,-0.1536298394203186,-0.0059204562567174435,-0.1487523317337036,0.002399417571723461,-0.1166987493634224,0.014593876898288727,0,0,0,0,0,0,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,running,7945219.999129209,7945219.999129209
2025-10-31,-0.25242200886568683,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,107.80095833333333,185.0,265.0,348.07,388.44,388.6,362.95,0.0,-0.16435280442237854,-0.0036531412042677402,-0.1529717743396759,0.0025919319596141577,-0.1152939721941948,0.005165672395378351,0,0,0,0,0,0,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,running,7667672.0621822085,7667672.0621822085
2025-11-04,-0.2525587701784987,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,177.85281666666666,265.0,346.71,387.04,387.32,361.86,307.34,0.0,-0.16642335057258606,-0.0035973074845969677,-0.1557045429944992,0.006323581095784903,-0.11434431374073029,0.001293569104745984,0,0,0,0,0,0,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,running,11908134.984211033,11908134.984211033
2025-11-05,-0.25,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,193.122,265.0,408.0,408.0,408.0,408.0,408.0,0.0,-0.16813969612121582,-0.001965512754395604,-0.15366841852664948,0.005954493302851915,-0.1113133504986763,-0.0016983507666736841,0,0,0,0,0,0,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,running,14641800.896016004,14641800.896016004
