episode,episode_reward,episode_pnl,episode_tx_cost,episode_ahorro_cop,margin_calls_count,overhedging_penalty_kwh_sum,episode_time_sec
1,-460.1671308593046,8694255457.969807,121126464.00000003,8573128993.969803,89,1356324204.424003,25.281517124996753
2,-365.34669675643414,10908110667.2555,186987254.40000004,10721123412.855507,62,1087096488.0093706,29.42665258300258
3,-267.29598837776433,4750815382.733499,174318915.60000008,4576496467.133497,41,503484969.7829992,29.369857583980775
4,-237.2794770995876,3420345599.9999995,138363883.19999993,3281981716.8000016,24,350791316.0355507,29.35642320799525
5,-213.62077155326836,4836545406.9738455,122321501.99999999,4714223904.9738455,22,289298891.9945511,29.32701045801514
6,-247.5711018686424,2803083713.4034204,150690711.60000008,2652393001.803421,25,335227854.342531,29.31133008300094
7,-222.91427094481145,4043889349.0383625,144710431.2,3899178917.8383617,25,426401881.19113475,29.379236500011757
8,-204.70307704789926,8487051092.5,169603819.2,8317447273.300002,15,464279499.1375508,29.394821249996312
9,-204.12916329915203,6155339675.199652,152859092.39999998,6002480582.799653,20,390769366.7475515,29.380197833990678
10,-191.1621816412804,6141905826.967742,140409950.39999998,6001495876.567739,14,305569609.5099998,29.35972279199632
11,-200.8786356519562,6630441940.451612,148331268.0,6482110672.451611,15,430079083.00555176,29.361519875004888
12,-182.00778414399676,6766304053.935484,132853906.79999998,6633450147.135483,9,349714771.87600046,29.365770084026735
13,-171.67512441360392,5759033318.683514,159678205.20000002,5599355113.48351,10,397129561.70155203,29.344129625009373
14,-179.8386745913828,6810462000.0,202844815.2000001,6607617184.800001,10,409678262.9055518,29.337641207996057
15,-178.79834288714088,7175930400.0,174996370.8,7000934029.200001,10,362407156.38355166,29.367355541995494
16,-169.9851403870435,10113354000.000002,192772069.2,9920581930.800005,7,456360495.68355197,29.380231124989223
17,-172.8934992251305,8767249200.0,193144946.39999998,8574104253.600002,7,429390559.5925515,29.410405707982136
18,-187.0948081910693,6709627718.961678,158809375.71868345,6550818343.242991,14,315681887.1905513,29.426576083002146
19,-177.03189252025564,9173020262.990116,176968178.91868356,8996052084.071438,9,449341642.6648208,29.362887832976412
20,-166.09972441690996,9181295418.36774,163661554.79999998,9017633863.567736,6,401508343.2585518,29.36087558302097
21,-166.99544830339133,11811575197.8,198693374.40000007,11612881823.400005,3,452603991.3993957,29.375175124994712
22,-183.782009222903,9302463602.328703,204846865.19999987,9097616737.128702,9,497428255.1265512,29.35410429100739
23,-178.47966261403047,10293899208.9,186789567.60000002,10107109641.300001,9,556327708.9341034,29.381916750018718
24,-165.46694209885783,10454602104.0,197307961.19999993,10257294142.799997,3,545398985.8980005,29.381667750014458
25,-166.61835726939353,10872879331.5,204723590.40000004,10668155741.1,4,438940437.9039997,29.400936916994397
26,-186.29325889281543,11496214283.1,202129019.99999994,11294085263.099997,5,544449008.8155521,29.389378958003363
27,-211.14807546165426,11592516666.841587,225335732.39999995,11367180934.441586,13,473520151.97755057,29.357824582984904
28,-167.79198274482334,13217952815.973846,195429942.0,13022522873.973846,10,582142458.2397394,29.40390308300266
29,-159.2493917383678,9374158710.941586,162529307.99999997,9211629402.941586,7,452301427.20295584,29.330697792000137
30,-173.0862476927497,7671176462.709677,160376277.59999996,7510800185.109675,9,379589447.1255507,29.37389400001848
31,-160.5968588287648,8222220134.657359,155981557.71868357,8066238576.938674,8,375749871.4611025,29.365828041016357
32,-161.34100517116306,11177328815.973846,177564196.8000001,10999764619.173853,10,465807882.3181036,29.369998749985825
33,-169.48778603793397,7870128196.258063,177762743.99999994,7692365452.258059,7,390850605.59065413,29.38792795900372
34,-178.02943727829643,8538366568.5,149107068.00000006,8389259500.499998,7,395881588.27455133,29.364505833975272
35,-182.343106969147,6337291719.1255,176758711.2000001,6160533007.925502,9,389815548.78555113,29.41527137500816
36,-163.818829357052,6416917203.677421,154711281.6,6262205922.077417,5,299893351.51355153,29.396273499995004
37,-162.24108168647035,7352392862.709678,162344775.6,7190048087.109679,4,378071115.95455164,29.424978458002442
38,-157.23310342462125,8701210069.817781,149171342.40000004,8552038727.41778,3,374018077.8535509,29.420785416994477
39,-166.48528222691618,6224872363.179642,159282311.64976507,6065590051.529878,5,402477400.2785517,29.34964291698998
40,-168.6904774308398,8838546469.81778,197759210.40000013,8640787259.417786,4,460719840.6025523,29.356372292008018
41,-169.263952285976,8682671332.527458,184027575.60000008,8498643756.927461,5,460837971.5755524,29.414002750010695
42,-169.18197389711423,6838787332.527457,177918490.80000004,6660868841.727458,3,369231503.80655146,29.378213916992536
43,-176.94771334192396,9503200803.46939,196265221.20000005,9306935582.269396,10,396792287.1985511,29.38824829098303
44,-200.8310099630915,6446874378.127459,180859162.10400006,6266015216.023457,7,390565388.89055073,29.355050332989777
45,-196.75671109374312,8388272365.9952,185735909.304,8202536456.6912,10,394234381.1080008,29.37909612499061
46,-171.2376878885296,7794835732.527458,188878982.4,7605956750.127453,10,470785212.61000097,29.393740041006822
47,-164.78133542626273,8317103853.709677,211302910.8,8105800942.909674,5,478970139.09600043,29.37530366599094
48,-166.8673559936874,8353131089.301652,201577996.80000007,8151553092.50165,4,394066587.432551,29.420214541984024
49,-163.17947057764007,6431327990.451795,175649439.60000005,6255678550.851794,7,300479097.1049997,29.411186666984577
50,-159.19227887610697,8953768561.524502,180902664.50400004,8772865897.020502,7,315665476.0795514,29.43253608298255
51,-159.1475895879711,13127126700.269396,202683592.8000001,12924443107.4694,8,430393940.01455104,29.407731832994614
52,-159.35094863526072,9152837885.327457,185271670.80000004,8967566214.527458,5,337949173.05599976,29.411739750008564
53,-162.64772908706848,10938352295.160429,219881158.11868346,10718471137.041742,5,381027166.9001015,29.4277716659999
54,-150.18858255599184,17534898942.651615,204816967.19999996,17330081975.451626,5,601161435.7811018,29.456422999995993
55,-150.1015611649504,9678690904.681263,162471837.60000005,9516219067.081266,6,302647568.6965505,29.45387875000597
56,-157.39071866598044,11130115210.483871,195064858.79999998,10935050351.68387,7,503940242.9885517,29.427791416994296
57,-153.2154325839364,11013070787.225807,214866831.59999996,10798203955.625807,6,375171864.86555135,29.426204749994213
58,-153.9220735971316,10563729662.709677,190423691.99999994,10373305970.709671,5,471735605.33555144,29.33801500001573
59,-168.56789015100776,10052784594.651264,202035589.19999993,9850749005.45126,11,358967338.9327389,29.422689583007013
60,-154.8557017182962,9855975510.94159,193101148.79999992,9662874362.141584,10,330785385.0445508,29.446972333011217
61,-151.33565179869046,10353139172.232092,174762946.79999998,10178376225.43209,8,298208967.54555136,29.46937666699523
62,-157.85132829582608,12398988514.16129,168520996.80000004,12230467517.361294,10,403425848.7715505,29.439412209001603
63,-148.5915800285263,13965476078.683521,182922019.2,13782554059.483522,13,381595604.8025509,29.46731258399086
64,-150.36743918009614,15658978630.451612,184850006.39999998,15474128624.05161,9,501734159.3120004,29.433809167006984
65,-148.37024925397046,14667171939.773531,165855103.20000008,14501316836.573536,13,430768424.73399955,29.42918591698981
66,-164.58987380855106,11994977511.406507,179846807.31868356,11815130704.087826,16,411698604.9899998,29.44321412499994
67,-148.11347657866912,14622511730.212242,176329875.60000008,14446181854.612247,11,429909844.9895507,29.486115042003803
68,-154.2522891649311,14321497163.51931,188857378.79999998,14132639784.719309,9,448998927.3941024,29.401044750004075
69,-156.03963376332285,13935549431.53434,184510726.44976503,13751038705.08458,15,432526425.9939995,29.48565312498249
70,-158.18426611119673,11606992514.417082,202225471.20000002,11404767043.217083,4,419237215.41799986,29.42544683298911
71,-154.12333287546295,13182838249.197393,203710622.39999998,12979127626.797394,4,399525150.96955055,29.44340508300229
72,-168.50055481274387,10645517631.52799,227914325.99999997,10417603305.527987,5,403973335.7355511,29.467604792007478
73,-149.89097281549883,15141835521.921577,208356068.04976493,14933479453.871807,5,510399765.0265513,29.48162320800475
74,-148.38121787976633,10125763543.819689,151887568.96651003,9973875974.85318,4,389441246.7285512,29.418831999995746
75,-150.7566421209103,14424959634.580647,183619371.5999999,14241340262.980637,6,418182161.20855105,29.39841462500044
76,-155.80986675461415,13342527933.618114,213387945.76650998,13129139987.851603,5,390338161.38355064,29.400802499993006
77,-153.46479089544295,11059346679.878984,189461282.4,10869885397.478985,4,350176349.4605506,29.449240791989723
78,-149.75234760618622,13537988653.902367,196328719.7186835,13341659934.183687,4,395332815.3595511,29.447663541999646
79,-150.6601202454737,13660342250.504377,197179443.24976507,13463162807.254616,4,380618626.71555096,29.453447874984704
80,-147.62384751659707,12834488021.451612,186577034.39999995,12647910987.051607,3,442055509.8125521,29.44154499997967
