Fecha,reward,pnl_step,pnl_acumulado,margen_inicial,capital_actual,margin_balance_total,sobre_cobertura_kwh,spot_price,future_price_t1,future_price_t2,future_price_t3,future_price_t4,future_price_t5,future_price_t6,covered_kwh_total,action_cont_1,action_cont_2,action_cont_3,action_cont_4,action_cont_5,action_cont_6,action_disc_raw_1,action_disc_raw_2,action_disc_raw_3,action_disc_raw_4,action_disc_raw_5,action_disc_raw_6,action_disc_exec_1,action_disc_exec_2,action_disc_exec_3,action_disc_exec_4,action_disc_exec_5,action_disc_exec_6,nem_slot_1,nem_slot_2,nem_slot_3,nem_slot_4,nem_slot_5,nem_slot_6,margin_calls_cost,transaction_costs,liquidacion_mtm,liquidacion_vencimiento,demanda_cubrir_kwh_1,demanda_cubrir_kwh_2,demanda_cubrir_kwh_3,demanda_cubrir_kwh_4,demanda_cubrir_kwh_5,demanda_cubrir_kwh_6,contratos_netos_1,contratos_netos_2,contratos_netos_3,contratos_netos_4,contratos_netos_5,contratos_netos_6,terminated,truncated
2025-10-22,-1.404845665093373,0.0,0.0,4999009596.8,4767255248.0,231754348.79999998,0.0,123.32715833333332,225.0,300.0,358.74,379.32,379.52,342.83,3240000.0,0.8456622958183289,0.9545608758926392,0.5664697885513306,0.9233992695808411,-0.997660756111145,-0.36093592643737793,1,1,1,1,-1,0,1,1,1,1,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,990403.2000000001,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,3,2,2,2,0,0,0,0
2025-10-23,-1.3492213103653123,-9597599.999999989,-9597599.999999989,4990241991.2,4835128157.599999,155113833.6,0.0,137.81476666666666,220.0,285.0,357.23,390.0,390.0,370.0,2520000.0,0.9755859375,0.6394848227500916,-0.5364720225334167,-0.11217962950468063,-0.9566324353218079,0.14732326567173004,1,1,-1,0,-1,0,0,0,-1,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,257205.6,-9597599.999999989,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,-2,0,0,0,0,0
2025-10-24,-1.469597209489123,2505600.000000013,-7091999.999999976,4992225944.0,4734847299.2,257378644.8,0.0,125.450225,220.0,290.0,355.69,388.48,388.64,368.82,3960000.0,0.9445506930351257,0.9921764731407166,0.4213607609272003,0.9564700126647949,-0.9986451268196106,0.6010451912879944,1,1,1,1,-1,1,0,0,1,0,0,1,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,521647.20000000007,2505600.000000013,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,2,0,0,2,0,0
2025-10-27,-4.50662665738517,-42645600.000000015,-49737599.99999999,4949580344.0,4682647299.2,266933044.8,0.0,106.63914166666666,190.0,280.0,354.16,386.96,387.28,367.64,3960000.0,0.9216524362564087,0.9741808772087097,0.18393926322460175,0.8162065744400024,-0.9990721344947815,0.6754188537597656,1,1,0,1,-1,1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,52200000.0,0.0,-42645600.000000015,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0
2025-10-28,-1.287992744142929,-3031200.000000026,-52768800.000000015,4946549144.0,4682647299.2,263901844.79999995,0.0,169.49115833333337,190.0,280.0,352.64,385.45,385.92,366.46,3960000.0,0.9215694665908813,0.9226242899894714,0.04401051625609398,0.8889586925506592,-0.99916011095047,0.4467118978500366,1,1,0,1,-1,1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,-3031200.000000026,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0
2025-10-29,-1.5124571480845748,-10216799.999999957,-62985599.99999997,4936332344.0,4682647299.2,253685044.8,0.0,117.53246666666666,190.0,270.0,351.12,383.95,384.53,365.29,3960000.0,0.9800624251365662,-0.08959019929170609,0.03502388671040535,0.7605199217796326,-0.9690864682197571,-0.03648969158530235,1,0,0,1,-1,0,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,-10216799.999999957,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0
2025-10-30,-1.6684530585458157,-28173599.999999996,-91159199.99999997,4933167944.0,4725800499.2,207367444.8,0.0,113.41794166666666,185.0,265.0,349.61,390.0,390.0,364.12,3240000.0,0.9797435402870178,-0.5415389537811279,0.42321038246154785,0.7382673621177673,-0.9106109738349915,-0.3955499827861786,1,-1,1,1,-1,0,0,-1,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,190800.0,-28173599.999999996,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,-2,0,0,0,0,0,0
2025-10-31,-1.4499986312158617,-6458400.0000000205,-97617599.99999999,4930483820.0,4717149735.2,213334084.8,0.0,107.80095833333333,185.0,265.0,348.07,388.44,388.6,362.95,3240000.0,0.4469189941883087,0.9313631057739258,0.7719318270683289,0.999519407749176,-0.9999873638153076,-0.8662563562393188,1,1,1,1,-1,-1,0,1,0,0,0,-1,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,452124.0,-6458400.0000000205,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,2,0,0,0,-2,0,0
2025-11-04,-2.275229651453502,-12787199.999999993,-110404799.99999997,4917278314.4,4602647919.2,314630395.20000005,0.0,177.85281666666666,265.0,346.71,387.04,387.32,361.86,307.34,4320000.0,0.9639425873756409,0.5815403461456299,0.24383604526519775,0.6235900521278381,-0.9773525595664978,0.36130446195602417,1,1,0,1,-1,0,0,0,0,1,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,16200000.0,418305.60000000003,-12787199.999999993,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,3,0,0,0,0
2025-11-05,-0.4305677153342383,81187200.0,-29217599.99999997,4916790154.4,4815280954.4,101509200.0,0.0,193.122,265.0,408.0,408.0,408.0,408.0,408.0,1800000.0,0.9389746189117432,-0.957774817943573,-0.8356869220733643,-0.9332284331321716,0.05144920572638512,-0.5949047803878784,1,-1,-1,-1,0,-1,0,-1,-1,-1,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,1028160.0,81187200.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,-2,-2,-3,0,0,0,0
