episode,episode_time_sec
1,9.472805541998241
2,0.12829995799984317
3,0.12083854200318456
4,0.11499962500238325
5,0.11450204100401606
6,0.12217983300797641
7,0.12468237499706447
8,0.12142237499938346
9,0.11997020900889765
10,0.12702879100106657
11,0.12888795799517538
12,0.12221854100062046
13,0.12211799999931827
14,0.12224737500946503
15,0.12036024998815265
16,0.1212769580015447
17,0.1256867079937365
18,0.11855554100475274
19,0.1191015419899486
20,0.1263578329962911
21,0.13048675000027288
22,0.12056779200793244
23,0.1196826250088634
24,0.11984487500740215
25,0.11971079099748749
26,0.12259512499440461
27,0.12143845799437258
28,0.1222595419967547
29,0.11987495901121292
30,0.12077900000440422
31,0.12674329099536408
32,0.11883950000628829
33,0.12247566599398851
34,0.12148687499575317
35,0.12677587498910725
36,0.1338175830023829
37,0.13560445800249
38,0.13554966599622276
39,0.15208995799184777
40,0.16143779199046548
41,0.5528089159925003
42,0.5517840829998022
43,0.5573247499996796
44,0.55440529200132
45,0.5533510419918457
46,0.554561291995924
47,0.5546089169947663
48,0.6226129159913398
49,0.5396044999943115
50,0.14716754198889248
51,0.142377750002197
52,0.13862145799794234
53,0.14281833299901336
54,0.13435512500291225
55,0.13938937500643078
56,0.1426102080004057
57,0.14155958298943006
58,0.14484329099650495
59,0.14378291700268164
60,0.13865645800251514
61,0.1483893750119023
62,0.1396924169966951
63,0.13789245899533853
64,0.1428100000048289
65,0.14040391599701252
66,0.14043099999253172
67,0.1403152919956483
68,0.14062400000693742
69,0.13626862499222625
70,0.14099895898834802
71,0.14414775000477675
72,0.14138812499004416
73,0.14191995799774304
74,0.14292562499758787
75,0.1438813749991823
76,0.13970429199980572
77,0.14036716599366628
78,0.14340229200024623
79,0.14009208300558385
80,0.14265237499785144
81,0.14355720800813287
82,0.14068524999311194
83,0.14007579200551845
84,0.141652582999086
85,0.14863833400886506
86,0.14305554199381731
87,0.13852183301059995
88,0.1406040000001667
89,0.13579141699301545
90,0.1418228749971604
91,0.1476776250055991
92,0.1394804169976851
93,0.14179429100477137
94,0.1431210829905467
95,0.13889374998689163
96,0.14037066699529532
97,0.1422467499942286
98,0.1425832920067478
99,0.14237237500492483
100,0.1420898750075139
101,0.14884904099744745
102,0.14337862499814946
103,0.14356841699918732
104,0.14182925000204705
105,0.14379229200130794
106,0.14387120799801778
107,0.14223166699230205
108,0.14222033398982603
109,0.14351966700633056
110,0.12203412500093691
111,0.12801600000238977
112,0.12248408299637958
113,0.11963662499329075
114,0.12131537499953993
115,0.12194574999739416
116,0.11906579199421685
117,0.12067241700424347
118,0.12226375000318512
119,0.12323729100171477
120,0.12105349999910686
121,0.12639970799500588
122,0.12162162500317208
123,0.11973791600030381
124,0.12212975000147708
125,0.11799904199142475
126,0.12037649999547284
127,0.1223570410074899
128,0.12187470799835864
129,0.12347941599728074
130,0.12130120799702127
131,0.12903308299428318
132,0.12614516699977685
133,0.12121649998880457
134,0.16433949999918696
135,0.1589323750085896
136,0.16006983300030697
137,0.16479174999403767
138,0.16059495900117327
139,0.160992459001136
140,0.1632857919903472
141,0.16647599999851082
142,0.16288454199093394
143,0.17378416599240154
144,0.16350483300630003
145,0.1643365409981925
146,0.16466458400827833
147,0.15975329199864063
148,0.16264416599005926
149,0.16077583300648257
150,0.16473695798777044
151,0.1695822500041686
152,0.16165549999277573
153,0.15772879098949488
154,0.16337629199551884
155,0.16091041699110065
156,0.16102383300312795
157,0.16150158298842143
158,0.5553007080015959
159,0.5569499580014963
160,0.5521269159944495
161,0.5585830409982009
162,0.5544423329993151
163,0.5555026669899235
164,0.5614908330026083
165,0.550156125013018
166,0.5547408339916728
167,0.556539041994256
168,0.5572220000030939
169,0.553102999998373
170,0.5572663339989958
171,0.5614146669977345
172,0.5589239590044599
173,0.5560297920019366
174,0.5595051249983953
175,0.5547869589936454
176,0.5588549589883769
177,0.6054342499992345
178,0.6726053340098588
179,0.5942129579925677
180,0.5779222919954918
181,0.6349277080007596
182,0.6211697090038797
183,0.5847687079949537
184,0.5557162089971825
185,0.5969217499950901
186,0.6052953340113163
187,0.6072595000005094
188,0.5927159999992
189,0.6112089580128668
190,0.6335224580107024
191,0.6421450829948299
192,0.6069150000112131
193,0.5768648749944987
194,0.5542358340026112
195,0.5527550000115298
196,0.5582628330012085
197,0.5547012500028359
198,0.590855709000607
199,0.5663697499985574
200,0.5618452500057174
201,0.6067422920023091
202,0.5937201249907957
203,0.5580524160031928
204,0.5517280420026509
205,0.5559872499870835
206,0.5571847499959404
207,0.5510979579994455
208,0.5589782079914585
209,0.6157557089900365
210,0.5945545830036281
211,0.5848057080002036
212,0.5609420419932576
213,0.5564811670046765
214,0.5594461659929948
215,0.5581122910080012
216,0.5574466249963734
217,0.5555182919924846
218,0.5606449589977274
219,0.5552542500081472
220,0.5594441249995725
221,0.5906279589980841
222,0.16051708300074097
223,0.166158166990499
224,0.16403558300225995
225,0.16447570899617858
226,0.16377062500396278
227,0.16240133398969192
228,0.1607693330006441
229,0.16238300000259187
230,0.15959283399570268
231,0.17022245901171118
232,0.12285937499837019
233,0.12286704199505039
234,0.12214212500839494
235,0.12357233400689438
236,0.12178133300039917
237,0.12187975000415463
238,0.1196710000076564
239,0.12201112500042655
240,0.12284054199699312
241,0.12369241700798739
242,0.12206866600899957
243,0.1243010839971248
244,0.12190720799844712
245,0.12574795799446292
246,0.12209229200379923
247,0.12236266701074783
248,0.12332958298793528
249,0.122454917000141
250,0.12226025000563823
251,0.12680812500184402
252,0.12425729200185742
253,0.12138683300872799
254,0.12207858401234262
255,0.12470270899939351
256,0.1195668750006007
