Fecha,Precio_Bilateral_0-7_COP/kWh,Precio_Bilateral_7-17_COP/kWh,Precio_Bilateral_17-24_COP/kWh,Precio_Bilateral_Dia_COP/kWh
2022-01-01,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-02,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-03,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-04,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-05,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-06,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-07,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-08,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-09,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-10,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-11,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-12,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-13,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-14,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-15,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-16,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-17,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-18,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-19,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-20,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-21,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-22,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-23,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-24,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-25,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-26,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-27,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-28,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-29,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-30,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-01-31,241.48000000000002,241.282,240.3114285714286,241.05666666666664
2022-02-01,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-02,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-03,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-04,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-05,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-06,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-07,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-08,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-09,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-10,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-11,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-12,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-13,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-14,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-15,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-16,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-17,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-18,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-19,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-20,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-21,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-22,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-23,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-24,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-25,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-26,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-27,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-02-28,246.51857142857145,246.833,245.84142857142857,246.45208333333335
2022-03-01,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-02,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-03,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-04,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-05,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-06,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-07,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-08,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-09,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-10,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-11,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-12,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-13,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-14,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-15,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-16,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-17,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-18,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-19,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-20,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-21,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-22,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-23,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-24,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-25,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-26,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-27,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-28,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-29,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-30,249.81,249.69,249.4257142857143,249.64791666666667
2022-03-31,249.81,249.69,249.4257142857143,249.64791666666667
2022-04-01,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-02,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-03,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-04,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-05,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-06,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-07,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-08,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-09,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-10,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-11,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-12,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-13,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-14,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-15,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-16,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-17,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-18,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-19,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-20,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-21,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-22,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-23,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-24,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-25,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-26,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-27,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-28,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-29,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-04-30,253.42428571428573,253.01999999999998,252.21285714285713,252.9025
2022-05-01,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-02,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-03,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-04,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-05,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-06,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-07,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-08,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-09,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-10,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-11,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-12,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-13,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-14,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-15,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-16,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-17,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-18,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-19,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-20,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-21,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-22,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-23,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-24,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-25,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-26,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-27,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-28,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-29,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-30,259.7285714285714,258.799,258.6014285714286,259.0125
2022-05-31,259.7285714285714,258.799,258.6014285714286,259.0125
2022-06-01,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-02,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-03,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-04,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-05,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-06,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-07,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-08,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-09,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-10,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-11,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-12,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-13,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-14,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-15,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-16,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-17,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-18,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-19,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-20,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-21,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-22,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-23,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-24,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-25,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-26,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-27,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-28,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-29,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-06-30,261.2085714285714,260.591,260.1571428571429,260.64458333333334
2022-07-01,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-02,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-03,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-04,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-05,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-06,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-07,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-08,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-09,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-10,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-11,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-12,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-13,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-14,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-15,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-16,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-17,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-18,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-19,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-20,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-21,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-22,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-23,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-24,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-25,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-26,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-27,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-28,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-29,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-30,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-07-31,266.5142857142857,265.691,265.30428571428575,265.8183333333333
2022-08-01,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-02,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-03,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-04,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-05,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-06,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-07,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-08,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-09,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-10,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-11,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-12,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-13,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-14,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-15,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-16,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-17,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-18,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-19,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-20,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-21,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-22,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-23,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-24,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-25,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-26,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-27,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-28,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-29,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-30,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-08-31,266.0342857142857,265.107,264.5042857142857,265.20166666666665
2022-09-01,267.10857142857145,267.398,266.38142857142856,267.01708333333335
2022-09-02,267.10857142857145,267.398,266.38142857142856,267.01708333333335
2022-09-03,267.10857142857145,267.398,266.38142857142856,267.01708333333335
2022-09-04,267.10857142857145,267.398,266.38142857142856,267.01708333333335
2022-09-05,267.10857142857145,267.398,266.38142857142856,267.01708333333335
2022-09-06,267.10857142857145,267.398,266.38142857142856,267.01708333333335
2022-09-07,267.10857142857145,267.398,266.38142857142856,267.01708333333335
2022-09-08,267.10857142857145,267.398,266.38142857142856,267.01708333333335
2022-09-09,267.10857142857145,267.398,266.38142857142856,267.01708333333335
2022-09-10,267.10857142857145,267.398,266.38142857142856,267.01708333333335
2022-09-11,267.10857142857145,267.398,266.38142857142856,267.01708333333335
2022-09-12,267.10857142857145,267.398,266.38142857142856,267.01708333333335
2022-09-13,267.10857142857145,267.398,266.38142857142856,267.01708333333335
2022-09-14,267.10857142857145,267.398,266.38142857142856,267.01708333333335
2022-09-15,267.10857142857145,267.398,266.38142857142856,267.01708333333335
