Fecha,Precio_COP/kWh_0-7,Precio_COP/kWh_7-17,Precio_COP/kWh_17-23,Precio_COP/kWh_Dia
2022-01-01,186.862275,186.44501111111109,213.18775714285715,194.38406666666666
2022-01-02,143.9049,194.22789999999998,247.04775714285714,192.85935833333335
2022-01-03,169.725225,220.62137777777778,224.27217142857145,204.72080833333334
2022-01-04,100.50189999999999,183.18267777777777,189.26204285714286,157.39556666666667
2022-01-05,113.4049,198.11934444444444,200.75775714285714,170.65073333333333
2022-01-06,180.8049,196.46045555555554,195.47632857142858,190.95489999999998
2022-01-07,183.6549,204.30045555555554,201.6249,196.63823333333335
2022-01-08,200.4049,202.57156666666666,204.87347142857143,202.5207333333333
2022-01-09,192.6549,198.9049,203.19061428571428,198.07156666666666
2022-01-10,202.0494,201.64734444444446,201.70918571428572,201.7994
2022-01-11,215.1324,253.79378888888888,270.1906142857143,245.68906666666666
2022-01-12,230.7799,250.79378888888888,247.47632857142858,243.1549
2022-01-13,233.2174,242.57156666666666,241.54775714285714,239.1549
2022-01-14,243.0299,260.7937888888889,260.54775714285717,254.80073333333334
2022-01-15,245.2799,261.46045555555554,258.9049,255.32156666666666
2022-01-16,238.7799,255.62712222222223,263.33347142857144,252.25906666666666
2022-01-17,222.062275,270.0160111111111,267.33347142857144,253.249025
2022-01-18,245.1549,287.5715666666667,271.1906142857143,268.6549
2022-01-19,254.0299,266.5715666666667,271.1906142857143,263.7382333333333
2022-01-20,255.4049,305.1272333333333,297.6193285714285,286.36331666666666
2022-01-21,286.6549,307.7937888888889,306.04775714285717,300.2382333333333
2022-01-22,291.4799,312.34934444444445,308.6049,304.3007333333333
2022-01-23,297.57989999999995,307.17156666666665,314.59061428571425,306.1382333333333
2022-01-24,307.329475,356.34954444444446,345.9051,336.963225
2022-01-25,372.6549,483.90489999999994,460.04775714285717,439.8632333333333
2022-01-26,373.4049,410.5715666666667,403.9049,396.2382333333333
2022-01-27,392.6544,518.3493444444443,515.3334714285714,475.5714
2022-01-28,403.9049,523.7937888888888,510.1906142857143,479.8632333333333
2022-01-29,433.0299,524.7937888888888,513.9049,491.0299
2022-01-30,355.23659999999995,478.92426666666665,524.4068857142857,450.9608083333333
2022-01-31,481.2799,538.1265666666667,538.1900428571429,519.1961916666667
2022-02-01,528.4841,599.6380444444444,595.4000285714285,574.683975
2022-02-02,614.6363,654.2808555555555,626.6194428571429,632.9980916666667
2022-02-03,622.66985,715.6831555555556,699.4654571428572,679.9485583333334
2022-02-04,627.5966,647.6381555555555,639.4001714285714,638.5548916666667
2022-02-05,632.24405,702.0515222222223,693.3518714285714,676.2449666666666
2022-02-06,639.8324,650.1573444444443,649.5009,646.5242333333333
2022-02-07,498.0793,695.2179666666666,664.5458714285714,620.55905
2022-02-08,354.09659999999997,692.0826,609.5428857142857,555.3465166666666
2022-02-09,400.4031,518.8599333333334,524.4000285714286,480.99018333333333
2022-02-10,374.9091,453.0827111111111,437.25731428571436,422.4091
2022-02-11,321.5466,390.9493777777777,378.07160000000005,364.0591
2022-02-12,320.2216,321.9716,335.8287428571429,325.42993333333334
2022-02-13,265.9716,309.41582222222223,322.25731428571436,298.67985000000004
2022-02-14,302.2216,373.52715555555557,361.9716,346.38826666666665
2022-02-15,330.9716,349.52715555555557,346.25731428571436,342.38826666666665
2022-02-16,305.22135000000003,352.63826666666665,354.54302857142864,337.38818333333336
2022-02-17,300.971225,321.7493777777778,326.8287428571429,316.30480833333337
2022-02-18,298.9716,330.69382222222225,318.25731428571436,316.49243333333334
2022-02-19,287.2216,306.30493333333334,305.54302857142864,299.7216
2022-02-20,226.419225,254.0957111111111,270.2703142857143,249.58780833333333
2022-02-21,242.1591,275.19382222222225,274.9716,264.11743333333334
2022-02-22,236.8504,343.9823444444444,309.9664714285714,298.3504
2022-02-23,221.4716,269.19382222222225,266.61445714285713,252.5341
2022-02-24,228.09609999999998,269.11126666666667,264.7573142857143,254.16964166666665
2022-02-25,222.6591,253.36048888888888,250.32874285714283,242.24243333333334
2022-02-26,244.2216,253.80493333333334,253.4716,250.51326666666668
2022-02-27,218.7261,230.71604444444444,270.5430285714286,238.3356
2022-02-28,204.4716,289.4160444444444,285.18588571428575,259.86743333333334
2022-03-01,223.9212,279.2545333333333,288.56405714285717,263.5253666666667
2022-03-02,212.22502500000002,273.8727333333334,266.4536857142857,251.15960833333335
2022-03-03,210.5617,259.3600333333333,246.75527142857143,239.41753333333335
2022-03-04,111.607575,217.9212,214.99262857142858,181.62915833333332
2022-03-05,164.8587,199.58786666666666,200.20691428571428,188.19203333333334
2022-03-06,163.6712,196.23786666666666,197.76405714285713,185.82745
2022-03-07,183.9212,238.14875555555557,238.46262857142855,220.16445
2022-03-08,179.9462,199.01008888888887,233.67834285714284,202.76703333333333
2022-03-09,167.12120000000002,207.94897777777777,235.85691428571428,202.4795333333333
2022-03-10,162.67057499999999,193.49786666666668,189.18534285714284,181.96428333333333
2022-03-11,164.1712,185.45453333333333,184.74977142857142,178.15453333333335
2022-03-12,176.9087,184.9212,184.20691428571428,182.0420333333333
2022-03-13,183.2212,192.9212,198.9212,191.43786666666665
2022-03-14,172.4587,220.84342222222222,208.39262857142856,201.0837
2022-03-15,198.7587,231.1100888888889,226.64977142857143,219.02536666666666
2022-03-16,211.9751,238.7764888888889,241.74188571428573,230.70759999999999
2022-03-17,217.1852,283.4163111111111,272.9700571428572,258.29245
