Fecha,Demanda_kWh_0-7,Demanda_kWh_7-17,Demanda_kWh_17-23,Demanda_kWh_Dia
2022-03-29,52683572.43,94515518.97,66254887.21,213453978.61
2022-03-30,52917806.26,95475466.15,66689374.44,215082646.85
2022-03-31,54092929.87,95723850.19,66741981.11,216558761.17
2022-04-01,53947753.85,95143654.37,67088861.47,216180269.69
2022-04-02,53213577.64,91770299.81,63702023.83,208685901.28
2022-04-03,50569037.47,80858490.5,59470822.21,190898350.18
2022-04-04,50606012.96,94112169.56,65991917.35,210710099.87
2022-04-05,53333581.87,95712167.09,67384491.28,216430240.24
2022-04-06,54476057.11,97802799.92999999,68314477.09,220593334.13
2022-04-07,55444093.72,97146847.54,67625936.98,220216878.24
2022-04-08,54819830.4,97143323.75,67447613.67999999,219410767.83
2022-04-09,53507833.53,92934860.16,64831242.62,211273936.31
2022-04-10,51519967.82,82790836.97,61826237.99,196137042.78
2022-04-11,52600895.77,97885938.9,68050059.54,218536894.21
2022-04-12,54198947.73,97600868.02,68196949.69,219996765.44
2022-04-13,54391885.02,95519288.23,65594194.61,215505367.85999998
2022-04-14,51187114.75,81530103.82000001,59796009.88,192513228.45
2022-04-15,48472811.76,76527798.6,58188774.46,183189384.82
2022-04-16,48933654.32,83902796.74,59848171.57,192684622.63
2022-04-17,47829330.46,77675334.64,59624208.85,185128873.95
2022-04-18,51278899.46,95047405.86,66013834.84,212340140.16
2022-04-19,52903165.36,93021795.81,64499528.78,210424489.95
2022-04-20,51491649.79,92515243.11,65191395.08,209198287.98
2022-04-21,52462554.63,93716848.79,65263375.89,211442779.31
2022-04-22,52373478.46,93971507.34,65173604.05,211518589.85
2022-04-23,51142161.78,90564584.51,62626884.37,204333630.66
2022-04-24,49179099.27,80922057.26,60104059.25,190205215.78
2022-04-25,51326412.9,93588733.63,64954532.07,209869678.6
2022-04-26,52657761.06,95542562.59,66892320.28,215092643.93
2022-04-27,53317109.56,96136958.5,66678414.31,216132482.37
2022-04-28,53315819.76,94831494.21,65462896.85,213610210.82
2022-04-29,52496705.55,95279840.95,66711648.36,214488194.86
2022-04-30,52752606.06,91736952.91,63277795.17,207767354.14
2022-05-01,48837064.16,77980238.12,59887513.85,186704816.13
2022-05-02,52009986.16,96086734.42999999,67699039.01,215795759.6
2022-05-03,54143094.8,98544397.9,69382898.9,222070391.6
2022-05-04,55261175.61,99923436.11,69630521.16,224815132.88
2022-05-05,55652612.55,96003349.34,65466656.39,217122618.28
2022-05-06,52916272.61,93783644.23,64867253.36,211567170.2
2022-05-07,51188873.13,89118660.33,62772078.63,203079612.09
2022-05-08,48168920.56,79258179.81,60286390.46,187713490.83
2022-05-09,52369592.45,97599587.75,67222952.63,217192132.83
2022-05-10,54020010.46,96271296.5,67124563.11,217415870.07
2022-05-11,53419446.32,95564025.03,66207631.56,215191102.91
2022-05-12,53379951.95,96078140.16,67662286.04,217120378.15
