Fecha,Precio_Bilateral_COP/kWh_0-7,Precio_Bilateral_COP/kWh_7-17,Precio_Bilateral_COP/kWh_17-23,Precio_Bilateral_COP/kWh_Dia
2022-01-01,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-02,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-03,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-04,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-05,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-06,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-07,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-08,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-09,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-10,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-11,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-12,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-13,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-14,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-15,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-16,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-17,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-18,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-19,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-20,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-21,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-22,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-23,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-24,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-25,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-26,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-27,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-28,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-29,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-30,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-01-31,241.4225,241.31111111111113,240.3114285714286,241.05666666666664
2022-02-01,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-02,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-03,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-04,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-05,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-06,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-07,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-08,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-09,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-10,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-11,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-12,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-13,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-14,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-15,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-16,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-17,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-18,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-19,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-20,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-21,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-22,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-23,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-24,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-25,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-26,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-27,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-02-28,246.5025,246.88222222222223,245.84142857142857,246.45208333333335
2022-03-01,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-02,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-03,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-04,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-05,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-06,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-07,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-08,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-09,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-10,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-11,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-12,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-13,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-14,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-15,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-16,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-17,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-18,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-19,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-20,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-21,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-22,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-23,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-24,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-25,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-26,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-27,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-28,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-29,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-30,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-03-31,249.7725,249.70999999999998,249.4257142857143,249.64791666666667
2022-04-01,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-02,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-03,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-04,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-05,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-06,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-07,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-08,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-09,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-10,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-11,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-12,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-13,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-14,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-15,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-16,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-17,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-18,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-19,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-20,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-21,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-22,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-23,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-24,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-25,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-26,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-27,253.38375,253.0111111111111,252.21285714285713,252.9025
2022-04-28,253.38375,253.0111111111111,252.21285714285713,252.9025
