Fecha,Precio_Ponderado_COP/kWh,AportesHidricos_GWh,Generacion_Termica_kWh,Generacion_Hidraulica_kWh,Generacion_Solar_kWh,Tipo_noticia,AportesHidricos_GWh_MA7,ELM_Vencimiento_00Meses,ELM_Vencimiento_01Meses,ELM_Vencimiento_02Meses,ELM_Vencimiento_03Meses,ELM_Vencimiento_04Meses,ELM_Vencimiento_05Meses,ELM_Vencimiento_06Meses,Precio_COP/kWh_Dia,Precio_Bilateral_COP/kWh_Dia,Demanda_kWh_Dia,Demanda_kWh_Dia_Comprador,Demanda_Comprador_Dia_01Meses_Adelante,Demanda_Comprador_Dia_02Meses_Adelante,Demanda_Comprador_Dia_03Meses_Adelante,Demanda_Comprador_Dia_04Meses_Adelante,Demanda_Comprador_Dia_05Meses_Adelante,Demanda_Comprador_Dia_06Meses_Adelante,Disponibilidad_kWh_Dia,Ratio_Cobertura_Dia,Retorno_Precio_Dia,Base_ELM_Vencimiento_00Meses,Retorno_ELM_Vencimiento_00Meses,Beta_MA30_ELM_Vencimiento_00Meses,Base_ELM_Vencimiento_01Meses,Retorno_ELM_Vencimiento_01Meses,Beta_MA30_ELM_Vencimiento_01Meses,Base_ELM_Vencimiento_02Meses,Retorno_ELM_Vencimiento_02Meses,Beta_MA30_ELM_Vencimiento_02Meses,Base_ELM_Vencimiento_03Meses,Retorno_ELM_Vencimiento_03Meses,Beta_MA30_ELM_Vencimiento_03Meses,Base_ELM_Vencimiento_04Meses,Retorno_ELM_Vencimiento_04Meses,Beta_MA30_ELM_Vencimiento_04Meses,Base_ELM_Vencimiento_05Meses,Retorno_ELM_Vencimiento_05Meses,Beta_MA30_ELM_Vencimiento_05Meses,Base_ELM_Vencimiento_06Meses,Retorno_ELM_Vencimiento_06Meses,Beta_MA30_ELM_Vencimiento_06Meses,Precio_Ponderado_COP/kWh
2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-02,196.0417,213.389,38209079.95,119726013.03,1324959.14,0.977190469887651,213.389,294.5,300.0,275.0,240.0,240.64,240.0,240.0,195.0476666666667,241.05666666666664,164430912.5,22976.349,1003609.346,1091573.892,1076441.268,1100937.509,1034230.811,1076422.627,365128547.9276,2.2205590322172544,,98.45830000000001,,,103.95830000000001,,,78.95830000000001,,,43.95830000000001,,,44.598299999999995,,,43.95830000000001,,,43.95830000000001,,,196.0417
2022-01-03,198.9087,216.1326,40743104.55,125160173.39,1364370.37,0.977190469887651,214.76080000000002,294.5,300.0,275.0,240.0,240.64,240.0,240.0,194.67105833333335,241.05666666666664,173108851.01,25580.291,1003609.346,1091573.892,1076441.268,1100937.509,1034230.811,1076422.627,369215189.8069,2.132849866732531,0.014518533773086975,95.59129999999999,0.0,,101.09129999999999,0.0,,76.09129999999999,0.0,,41.09129999999999,0.0,,41.731299999999976,0.0,,41.09129999999999,0.0,,41.09129999999999,0.0,,198.9087
2022-01-04,206.4392,202.5926,45120081.28,146881478.98,1310334.27,0.977190469887651,210.70473333333334,294.5,300.0,275.0,240.0,240.64,240.0,240.0,203.04270833333337,241.05666666666664,195305797.71,32468.312,1003609.346,1091573.892,1076441.268,1100937.509,1034230.811,1076422.627,368128927.5359,1.884884790171547,0.03716001257854878,88.0608,0.0,,93.5608,0.0,,68.5608,0.0,,33.5608,0.0,,34.20079999999999,0.0,,33.5608,0.0,,33.5608,0.0,,206.4392
2022-01-05,164.5894,192.1692,34644912.16,164190684.85,1368621.77,0.977190469887651,206.07085,282.72,295.0,275.0,240.0,240.64,240.0,240.0,159.50913333333332,241.05666666666664,201259375.68,36010.684,1003609.346,1091573.892,1076441.268,1100937.509,1034230.811,1076422.627,368857571.4465,1.8327472705320278,-0.2265520504276621,118.13060000000002,-0.04082199452025505,,130.4106,-0.01680711831638129,,110.41059999999999,0.0,,75.41059999999999,0.0,,76.05059999999997,0.0,,75.41059999999999,0.0,,75.41059999999999,0.0,,164.5894
2022-01-06,176.2716,183.0946,30259227.35,169785451.29,1373725.95,0.8535830339442734,201.47560000000001,272.37,288.86,271.87,240.0,240.64,240.0,240.0,171.8672333333333,241.05666666666664,202626211.27,36610.581000000006,1003609.346,1091573.892,1076441.268,1100937.509,1034230.811,1076422.627,375193765.2019,1.8516546445314186,0.06857209974746391,96.0984,-0.037295572519610874,,112.58840000000001,-0.021033214666799135,,95.5984,-0.011447086797333353,,63.72839999999999,0.0,,64.36839999999998,0.0,,63.72839999999999,0.0,,63.72839999999999,0.0,,176.2716
2022-01-07,192.5089,209.8716,30694720.13,170473582.75,1261827.19,0.8741842732681698,202.87493333333336,262.02,281.99,268.74,250.0,240.0,240.0,240.0,191.5475,241.05666666666664,203621351.99,37229.490000000005,1003609.346,1091573.892,1076441.268,1100937.509,1034230.811,1076422.627,375061695.6789,1.8419566121794513,0.0881163990504866,69.51109999999997,-0.03874059932625106,,89.4811,-0.024070532356570775,,76.2311,-0.011579641421974169,,57.49109999999999,0.0408219945202552,,47.49109999999999,-0.002663117419483662,,47.49109999999999,0.0,,47.49109999999999,0.0,,192.5089
2022-01-08,198.512,243.4076,30647433.29,170950134.35,1242795.53,0.88889944421381,208.6653142857143,251.7,274.15,265.62,254.15,240.91,240.0,240.0,197.31493333333333,241.05666666666664,204322034.87,36160.72,1003609.346,1091573.892,1076441.268,1100937.509,1034230.811,1076422.627,370455784.85,1.813097569656169,0.03070716527519058,53.18799999999999,-0.04018293458425436,,75.63799999999998,-0.02819620746639256,,67.108,-0.011677653475159037,,55.638000000000005,0.01646372603066503,,42.397999999999996,0.003784496417691723,,41.488,0.0,,41.488,0.0,,198.512
2022-01-09,203.8959,187.1878,28323475.44,166868067.22,1347883.84,0.89993582242304,204.9222857142857,251.7,274.15,265.62,254.15,240.91,240.0,240.0,203.69893333333337,241.05666666666664,198665781.95,34605.67,1003609.346,1091573.892,1076441.268,1100937.509,1034230.811,1076422.627,374077894.0521,1.8829508050170791,0.026760017781699872,47.80409999999998,0.0,,70.25409999999997,0.0,,61.72409999999999,0.0,,50.254099999999994,0.0,,37.014099999999985,0.0,,36.10409999999999,0.0,,36.10409999999999,0.0,,203.8959
2022-01-10,199.5924,180.3552,24196135.66,154416893.26,1361124.09,0.9085196721413301,199.81122857142856,251.7,274.15,265.62,254.15,240.91,240.0,240.0,199.1943666666667,241.05666666666664,182108345.03,28852.625,1003609.346,1091573.892,1076441.268,1100937.509,1034230.811,1076422.627,361758214.5271,1.9864999293003571,-0.0213322824820717,52.10759999999999,0.0,,74.55759999999998,0.0,,66.0276,0.0,,54.55760000000001,0.0,,41.3176,0.0,,40.4076,0.0,,40.4076,0.0,,199.5924
2022-01-11,203.0664,171.5968,23813963.05,156398960.27,1236504.65,0.9153867519159622,195.38325714285716,251.7,274.15,265.62,254.15,240.91,240.0,240.0,203.0233,241.05666666666664,183604614.75,30208.625,1003609.346,1091573.892,1076441.268,1100937.509,1034230.811,1076422.627,351165984.4623,1.9126206873419558,0.017255732154254615,48.6336,0.0,,71.08359999999999,0.0,,62.55360000000002,0.0,,51.08360000000002,0.0,,37.84360000000001,0.0,,36.93360000000001,0.0,,36.93360000000001,0.0,,203.0664
2022-01-12,248.6578,169.8156,33608220.25,165430245.77,1077291.95,0.9038418930381937,192.1898857142857,241.63,265.93,262.96,254.15,240.91,240.0,240.0,245.7797,241.05666666666664,201603949.74,36718.344000000005,1003609.346,1091573.892,1076441.268,1100937.509,1034230.811,1076422.627,338347276.5724,1.6782770228894424,0.2025446349090714,-7.027800000000013,-0.04083027160390751,,17.272199999999998,-0.030442285595209895,,14.30219999999997,-0.01006478661614082,,5.492199999999997,0.0,,-7.747800000000012,0.0,,-8.657800000000009,0.0,,-8.657800000000009,0.0,,248.6578
2022-01-13,243.673,166.6176,45039035.22,158910750.8,1316632.16,0.8756962770855168,189.83602857142859,233.73,264.79,262.04,262.08,235.46,240.0,240.0,242.53236666666663,241.05666666666664,205970214.55,38379.490000000005,1003609.346,1091573.892,1076441.268,1100937.509,1034230.811,1076422.627,348608821.6161,1.692520553895301,-0.02025049152751622,-9.943000000000012,-0.03324102752648621,,21.11700000000002,-0.004296057255538508,,18.36700000000002,-0.003504765492288192,,18.406999999999982,0.03072515677179303,,-8.212999999999994,-0.02288237210963222,,-3.673000000000002,0.0,,-3.673000000000002,0.0,,243.673
2022-01-14,239.495,182.1894,48417755.66,161080917.79,1085913.11,0.8518807558947903,185.88142857142856,232.68,263.65,261.12,262.08,235.46,240.0,240.0,238.94306666666668,241.05666666666664,207528023.63,37624.165,1003609.346,1091573.892,1076441.268,1100937.509,1034230.811,1076422.627,357966980.3373,1.7249091186620482,-0.017294622729630078,-6.814999999999998,-0.004502483968315679,,24.154999999999973,-0.004314593022830325,,21.625,-0.0035170920879334525,,22.58499999999998,0.0,,-4.034999999999997,0.0,,0.5049999999999955,0.0,,0.5049999999999955,0.0,,239.495
2022-01-15,254.0661,269.117,51240793.21,156143553.89,1123595.9,0.8314674520170245,189.55419999999998,231.63,262.52,260.21,262.08,235.46,240.0,240.0,253.126,241.05666666666664,207754134.37,37937.465,1003609.346,1091573.892,1076441.268,1100937.509,1034230.811,1076422.627,360731159.1555,1.7363368495620664,0.059061929577113606,-22.43610000000001,-0.004522848053726713,,8.453899999999976,-0.0042951963709567725,,6.143899999999974,-0.0034910744604232484,,8.013899999999978,0.0,,-18.606099999999998,0.0,,-14.066100000000006,0.0,,-14.066100000000006,0.0,,254.0661
2022-01-16,256.6133,182.3406,51267972.68,145133685.04,1131860.04,0.8411823198750664,188.86174285714287,231.63,262.52,260.21,262.08,235.46,240.0,240.0,255.75696666666667,241.05666666666664,199796498.97,36917.808000000005,1003609.346,1091573.892,1076441.268,1100937.509,1034230.811,1076422.627,358057152.0136,1.79210924044952,0.009975813099468352,-24.983299999999986,0.0,,5.906700000000001,0.0,,3.5966999999999985,0.0,,5.466700000000003,0.0,,-21.153299999999973,0.0,,-16.61329999999998,0.0,,-16.61329999999998,0.0,,256.6133
2022-01-17,253.7758,156.057,51136803.29,131384266.77,1083764.59,0.8496828292508529,185.3905714285714,231.63,262.52,260.21,262.08,235.46,240.0,240.0,252.75076666666664,241.05666666666664,186193737.81,31703.799000000003,1003609.346,1091573.892,1076441.268,1100937.509,1034230.811,1076422.627,348179942.1982,1.8699873921296837,-0.01111908241860126,-22.14580000000001,0.0,,8.744199999999978,0.0,,6.434199999999976,0.0,,8.30419999999998,0.0,,-18.315799999999996,0.0,,-13.775800000000004,0.0,,-13.775800000000004,0.0,,253.7758
2022-01-18,257.134,169.1852,46596686.08,158773703.05,982382.17,0.8295391431401659,185.04605714285714,231.63,262.52,260.21,262.08,235.46,240.0,240.0,253.776425,241.05666666666664,208558210.99,37803.452000000005,1003609.346,1091573.892,1076441.268,1100937.509,1034230.811,1076422.627,346573741.4372,1.6617602337115251,0.013146149726970443,-25.50400000000002,0.0,,5.385999999999967,0.0,,3.075999999999965,0.0,,4.9459999999999695,0.0,,-21.674000000000007,0.0,,-17.134000000000015,0.0,,-17.134000000000015,0.0,,257.134
