Fecha,Precio_Ponderado_COP/kWh,AportesHidricos_GWh,Generacion_Termica_kWh,Generacion_Hidraulica_kWh,Generacion_Solar_kWh,Tipo_noticia,AportesHidricos_GWh_MA7,NTB_Vencimiento_00Meses,NTB_Vencimiento_01Meses,NTB_Vencimiento_02Meses,NTB_Vencimiento_03Meses,NTB_Vencimiento_04Meses,NTB_Vencimiento_05Meses,NTB_Vencimiento_06Meses,Precio_COP/kWh_17-23,Precio_Bilateral_COP/kWh_17-23,Demanda_kWh_17-23,Demanda_kWh_17-23_Comprador,Demanda_Comprador_17-23_01Meses_Adelante,Demanda_Comprador_17-23_02Meses_Adelante,Demanda_Comprador_17-23_03Meses_Adelante,Demanda_Comprador_17-23_04Meses_Adelante,Demanda_Comprador_17-23_05Meses_Adelante,Demanda_Comprador_17-23_06Meses_Adelante,Disponibilidad_kWh_17-23,Ratio_Cobertura_17-23,Retorno_Precio_17-23,Base_NTB_Vencimiento_00Meses,Retorno_NTB_Vencimiento_00Meses,Beta_MA30_NTB_Vencimiento_00Meses,Base_NTB_Vencimiento_01Meses,Retorno_NTB_Vencimiento_01Meses,Beta_MA30_NTB_Vencimiento_01Meses,Base_NTB_Vencimiento_02Meses,Retorno_NTB_Vencimiento_02Meses,Beta_MA30_NTB_Vencimiento_02Meses,Base_NTB_Vencimiento_03Meses,Retorno_NTB_Vencimiento_03Meses,Beta_MA30_NTB_Vencimiento_03Meses,Base_NTB_Vencimiento_04Meses,Retorno_NTB_Vencimiento_04Meses,Beta_MA30_NTB_Vencimiento_04Meses,Base_NTB_Vencimiento_05Meses,Retorno_NTB_Vencimiento_05Meses,Beta_MA30_NTB_Vencimiento_05Meses,Base_NTB_Vencimiento_06Meses,Retorno_NTB_Vencimiento_06Meses,Beta_MA30_NTB_Vencimiento_06Meses
2025-12-07,166.672,475.5214246000001,17971570.0,202289950.0,14507090.0,0.8377959616372481,515.8105004571429,316.69,285.61,342.91,284.84,274.77,268.73,259.34,253.59241428571428,291.37,71027844.48,17727.377,596960.927,564136.104196257,651395.7261786696,643045.6688245179,649395.3874711193,643295.3129012476,115978490.18,1.632859493753287,-0.15345864254748576,63.097585714285714,0.0,9.908896034267393,32.01758571428573,0.0,-1.328960947070752,89.31758571428574,0.0,0.08829083117780015,31.24758571428569,0.0,-0.23488024738396018,21.177585714285698,0.0,-3.1438548694281465,15.137585714285734,0.0,-7.518195676283348,5.747585714285691,0.0,-3.2963239419934296
2025-12-08,166.5185,491.27397608,17703060.0,182608150.0,14345830.0,0.8377821352882815,514.4783416771429,316.69,285.61,342.91,284.84,274.77,268.73,259.34,229.23491428571427,291.37,65627505.96,13777.316,596960.927,564136.104196257,651395.7261786696,643045.6688245179,649395.3874711193,643295.3129012476,117476962.85,1.7900567929794904,-0.10098100566423064,87.45508571428573,0.0,9.870335815967893,56.375085714285746,0.0,-1.4476211926045612,113.67508571428576,0.0,0.09550101443638197,55.60508571428571,0.0,-0.2505481349864126,45.535085714285714,0.0,-3.3091455622064583,39.49508571428575,0.0,-7.859352114054265,30.105085714285707,0.0,-3.4494233153200486
2025-12-09,139.1512,442.24996284,16889700.0,188622140.0,14870170.0,0.8377953410714619,494.52513134857145,316.69,285.61,342.91,284.84,274.77,268.73,259.34,188.39085714285716,291.37,68838043.33,16765.61,596960.927,564136.104196257,651395.7261786696,643045.6688245179,649395.3874711193,643295.3129012476,118182234.88,1.716815719375561,-0.19622847232991797,128.29914285714284,0.0,9.873886434687451,97.21914285714286,0.0,-1.4485913749511397,154.51914285714287,0.0,0.09574678694523729,96.44914285714282,0.0,-0.2508375533453842,86.37914285714282,0.0,-3.311522647032858,80.33914285714286,0.0,-7.86431550739017,70.94914285714282,0.0,-3.4518743610192066
2025-12-10,226.2137,400.67278816,18785470.0,212915340.0,10409940.0,0.8324753833174403,475.9022582571428,313.36,282.21,342.16,284.16,274.11,268.11,258.77,272.99892857142856,291.37,76408304.19,19482.407000000003,596960.927,564136.104196257,651395.7261786696,643045.6688245179,649395.3874711193,643295.3129012476,119209522.07,1.5601644786353162,0.37094903853150857,40.36107142857145,-0.010570688064879114,6.194936151806716,9.211071428571415,-0.011975769206085946,-1.3918654733791482,69.16107142857146,-0.002189558146277811,-0.09085298782283349,11.16107142857146,-0.00239015931011862,-0.09128298258305434,1.1110714285714494,-0.002404898404366788,-2.4826341319641516,-4.888928571428551,-0.0023098140066093818,-6.387482034937876,-14.228928571428582,-0.002200305842249304,-2.505938014468675
2025-12-11,209.1069,352.9499652,22701540.0,209607280.0,11469040.0,0.8241232356505226,459.1009698457143,310.63,278.8,341.41,283.48,273.45,267.49,258.2,279.8674142857143,291.37,76990048.89,20394.139000000003,596960.927,564136.104196257,651395.7261786696,643045.6688245179,649395.3874711193,643295.3129012476,119099897.72,1.5469518390638342,0.024848100084417714,30.762585714285706,-0.008750196056754488,3.655808956941247,-1.0674142857142783,-0.012156795765600805,-1.338801212933971,61.542585714285735,-0.0021943628332189912,0.1387609851713345,3.6125857142857285,-0.002395885861750029,-0.24440021953096344,-6.417414285714301,-0.00241069588585729,-2.7109828698474328,-12.37741428571428,-0.0023151616016875796,-6.051558754706976,-21.6674142857143,-0.0022051578659467094,-2.7443061670713194
2025-12-12,240.8063,334.24135101999997,23987010.0,209290430.0,12513080.0,0.8290632188831528,436.13559034285714,308.33,275.57,340.69,282.83,272.82,266.9,257.63,292.0313571428572,291.37,77563400.96,20704.014,596960.927,564136.104196257,651395.7261786696,643045.6688245179,649395.3874711193,643295.3129012476,117123385.36,1.5100341644431163,0.04254521336330377,16.298642857142795,-0.007431855325754076,2.26036533894794,-16.461357142857196,-0.011652999082568014,-1.4357484992425515,48.65864285714281,-0.0021111281847580317,0.207463700829143,-9.201357142857205,-0.002295563509163938,-0.2972217898190089,-19.211357142857196,-0.0023065527278075745,-2.8632832511406145,-25.131357142857212,-0.002208126049244429,-6.12196999976682,-34.401357142857194,-0.0022100313359102826,-2.8829348487611233
2025-12-13,253.5737,384.23284356,25318280.0,208970800.0,11307900.0,0.8249903898873716,411.59175877999996,306.02,272.57,340.04,282.21,272.22,266.31,257.09,284.3504571428572,291.37,76380763.94,21360.497000000003,596960.927,564136.104196257,651395.7261786696,643045.6688245179,649395.3874711193,643295.3129012476,117207798.95,1.5345198568853173,-0.0266537025500253,21.6695428571428,-0.007520178681400106,3.5382089315585317,-11.780457142857188,-0.010946217954763601,-1.318363212819069,55.68954285714284,-0.001909715151518032,0.16027947252005822,-2.1404571428572012,-0.002194535780921697,-0.2573312783764657,-12.130457142857153,-0.002201674161046552,-2.7140906212182334,-18.04045714285718,-0.002213012662140749,-5.995794416877211,-27.260457142857206,-0.0020982289326834627,-2.7559811600718995
2025-12-14,246.6538,328.93041958,23146160.0,202157450.0,13160490.0,0.8244829364336316,390.65018663428566,306.02,272.57,340.04,282.21,272.22,266.31,257.09,253.443,291.37,71678118.15,18580.08,596960.927,564136.104196257,651395.7261786696,643045.6688245179,649395.3874711193,643295.3129012476,117281341.91,1.6362223916728202,-0.11506853575095752,52.57699999999997,0.0,3.947426670954452,19.12699999999998,0.0,-1.3797416687926307,86.59700000000001,0.0,0.1716404803795523,28.766999999999967,0.0,-0.27313898771984624,18.777000000000015,0.0,-2.8636707278132425,12.86699999999999,0.0,-6.303899219278215,3.646999999999963,0.0,-2.9094964933600167
2025-12-15,240.3562,302.55354466,21208720.0,184164440.0,13501710.0,0.8244982990435944,363.69012500285714,306.02,272.57,340.04,282.21,272.22,266.31,257.09,294.05505714285715,291.37,69159856.2,15166.088000000002,596960.927,564136.104196257,651395.7261786696,643045.6688245179,649395.3874711193,643295.3129012476,116477957.21,1.6841844909735366,0.14862807332217173,11.96494285714283,0.0,4.399855284844324,-21.48505714285716,0.0,-1.0852682177074213,45.98494285714287,0.0,0.1050589902264284,-11.845057142857172,0.0,-0.20155847443980593,-21.835057142857124,0.0,-2.405927893739854,-27.74505714285715,0.0,-5.495165224427429,-36.96505714285718,0.0,-2.4873695138896754
2025-12-16,296.5943,331.55055648,27694660.0,204744150.0,14468730.0,0.8192070491190135,347.8759240942858,305.1,270.66,339.63,281.76,271.76,265.83,256.63,324.72158571428565,291.37,76261282.29,20481.120000000003,596960.927,564136.104196257,651395.7261786696,643045.6688245179,649395.3874711193,643295.3129012476,115736018.35,1.5176248664412535,0.09920113684738596,-19.62158571428563,-0.0030108675710432955,3.8554488288450552,-54.06158571428563,-0.007032041200677489,-0.9112162733116218,14.908414285714343,-0.0012064679910303946,0.044577856960173017,-42.96158571428566,-0.0015958299040736686,-0.13786291584671803,-52.96158571428566,-0.0016912390515991763,-1.978405019293533,-58.89158571428567,-0.0018040370210169643,-4.7159020136127365,-68.09158571428566,-0.0017908593122392543,-2.0614701374170203
