Fecha,Precio_COP/kWh_0-7,Precio_COP/kWh_7-17,Precio_COP/kWh_17-23,Precio_COP/kWh_Dia
2022-01-01,188.09407142857145,186.7526,213.85135714285713,195.0476666666667
2022-01-02,145.7166,191.0073,248.8594571428571,194.67105833333335
2022-01-03,162.7445,217.5655,222.59407142857145,203.04270833333337
2022-01-04,101.90794285714286,177.5008,191.40794285714287,159.50913333333332
2022-01-05,114.6214,190.8644,201.9742571428571,171.8672333333333
2022-01-06,181.3975,195.4875,196.0689285714286,191.5475
2022-01-07,183.5816,203.4376,202.3016,197.31493333333333
2022-01-08,201.36881428571428,203.6831,206.0516714285714,203.69893333333337
2022-01-09,196.45627142857143,197.5277,204.3134142857143,199.1943666666667
2022-01-10,203.4368,202.797,202.9330857142857,203.0233
2022-01-11,213.6722,250.8122,270.6979142857143,245.7797
2022-01-12,229.4907,247.7907,248.06212857142856,242.53236666666663
2022-01-13,233.64961428571428,241.5139,240.5639,238.94306666666668
2022-01-14,242.74207142857145,255.3635,260.3135,253.126
2022-01-15,245.1260142857143,260.69030000000004,259.3403,255.75696666666667
2022-01-16,238.96802857142856,254.6466,263.8251714285714,252.75076666666664
2022-01-17,218.89787142857145,268.3323,267.86087142857144,253.776425
2022-01-18,245.3071,283.9071,270.87852857142855,268.8487666666667
2022-01-19,254.3558,265.8558,271.64151428571427,264.1891333333333
2022-01-20,255.05248571428572,301.03819999999996,298.05262857142856,286.75490833333333
2022-01-21,287.85101428571426,306.1653,307.7081571428571,301.2736333333333
2022-01-22,292.8496285714286,315.3782,312.1782,307.87403333333333
2022-01-23,301.3217285714286,306.3903,316.2360142857143,307.78363333333334
2022-01-24,306.50708571428567,350.7078,346.3078,336.53259166666663
2022-01-25,364.3354,479.3354000000001,460.4782571428571,440.29373333333336
2022-01-26,373.64977142857146,407.2212,404.2212,396.5545333333334
2022-01-27,387.4432714285714,510.5867,516.0152714285714,476.25319999999994
2022-01-28,404.1873,512.0873,510.4730142857143,480.14563333333336
2022-01-29,433.1535,515.9535,514.1535,491.27850000000007
2022-01-30,361.4178714285714,462.4763,524.5525857142858,451.10650833333335
2022-01-31,475.07284285714286,537.3152,538.5008428571429,519.5069916666666
2022-02-01,527.6838285714285,593.3222,595.5408285714285,574.8247749999999
2022-02-02,611.3656428571429,647.0761,623.3666428571429,629.7452916666667
2022-02-03,620.0176142857142,708.2338,699.4627571428572,679.9458583333334
2022-02-04,623.1670571428571,640.0242,639.4527714285714,634.9408666666667
2022-02-05,631.2448999999999,695.5876000000001,693.2444714285714,676.1375666666667
2022-02-06,639.4291428571429,645.0604000000001,646.9440000000001,643.9673333333334
2022-02-07,476.7195571428571,690.8765,664.7932714285714,620.8064499999999
2022-02-08,328.10188571428574,678.8875,610.9588857142857,556.7625166666667
2022-02-09,386.93902857142854,517.7311,525.1600285714286,481.7501833333333
2022-02-10,371.7767428571429,448.2196,437.7053142857143,422.8571
2022-02-11,319.2624,386.4424,378.5624,364.5499
2022-02-12,321.2911142857143,322.8054,336.86254285714284,326.4637333333333
2022-02-13,270.41125714285715,305.8682,324.55411428571426,300.97665
2022-02-14,295.9602142857143,371.9745,362.6745,347.09116666666665
2022-02-15,332.0218,348.7218,347.30751428571426,343.43846666666667
2022-02-16,301.98737142857146,353.3448,356.41622857142863,339.26138333333336
2022-02-17,301.4941714285714,320.1946,327.3517428571428,316.82780833333334
2022-02-18,300.8941,329.4441,320.17981428571426,318.4149333333333
2022-02-19,290.3601857142857,308.4459,309.21732857142854,303.3959
2022-02-20,231.8322428571429,250.5641,272.04981428571426,251.3673083333333
2022-02-21,238.53724285714287,275.63009999999997,275.6801,264.82593333333335
2022-02-22,231.2089,299.1589,288.30861428571427,276.1754833333334
2022-02-23,221.9984,263.34839999999997,264.8555428571429,251.7275666666667
2022-02-24,224.5180142857143,267.844,265.3040142857143,254.466425
2022-02-25,219.15542857142856,253.784,250.9411428571429,242.85483333333332
2022-02-26,244.04148571428573,254.4272,254.3272,251.3688666666667
2022-02-27,219.2354,230.5474,271.35882857142855,239.1514
2022-02-28,198.71168571428572,286.6974,286.2116857142857,260.89323333333334
2022-03-01,219.56749999999997,277.8675,289.2103571428571,264.1716666666667
2022-03-02,209.2297,273.6982,268.7439857142857,253.44990833333335
2022-03-03,208.51947142857145,261.0509,249.77947142857144,242.44173333333333
2022-03-04,107.06994285714286,222.86189999999996,222.28422857142857,188.9207583333333
2022-03-05,165.22601428571429,204.3903,205.22601428571429,193.21113333333335
2022-03-06,168.36647142857146,193.1229,199.7807571428571,187.84415
2022-03-07,183.83512857142856,235.0685,239.80512857142855,221.50695
2022-03-08,180.513,201.793,236.67014285714285,205.75883333333337
2022-03-09,168.9554142857143,205.7247,237.70541428571428,204.32803333333337
2022-03-10,163.4112142857143,191.4595,190.1046428571429,182.88358333333335
2022-03-11,165.84728571428573,189.313,188.96157142857143,182.36633333333336
2022-03-12,179.3054142857143,186.5197,186.6054142857143,184.44053333333332
2022-03-13,185.5877,194.3177,201.2877,193.80436666666665
2022-03-14,170.8772,220.4372,210.34862857142855,203.0397
2022-03-15,201.9312,232.4712,230.65977142857145,223.03536666666665
2022-03-16,219.69609999999997,248.7261,252.35038571428572,241.3161
2022-03-17,218.74417142857143,283.65860000000004,277.65045714285714,262.97285
2022-03-18,189.6858,240.78579999999997,241.11437142857145,225.9774666666667
2022-03-19,199.2216571428571,213.0724,218.3860857142857,210.58242499999997
2022-03-20,203.97487142857145,206.4463,213.2604428571429,207.712925
2022-03-21,197.94519999999997,209.5449,224.3434857142857,210.47790833333332
2022-03-22,194.74974285714285,228.4786,225.1757428571429,217.6776833333333
2022-03-23,128.19034285714287,249.02489999999997,239.53777142857143,211.01440833333336
2022-03-24,210.9943,252.8423,239.7085857142857,236.80596666666668
2022-03-25,237.7054571428571,247.56260000000003,247.49117142857145,244.6667666666667
2022-03-26,244.8748571428571,249.0314,249.01714285714283,247.81491666666668
2022-03-27,247.9337,250.0337,251.25512857142857,249.77744999999996
2022-03-28,250.68914285714283,277.775,287.68928571428575,272.76662500000003
2022-03-29,248.90402857142857,283.44759999999997,302.0474571428571,278.79735
2022-03-30,234.0641,287.2641,309.2069571428571,278.1474333333333
2022-03-31,264.55192857142856,321.8422,333.05264285714287,308.40225
2022-04-01,264.50404285714285,285.6098,292.6446142857143,281.505775
2022-04-02,192.036,265.005,241.22642857142856,236.78695833333333
2022-04-03,114.9423857142857,161.1921,165.53495714285714,148.96926666666667
2022-04-04,99.08848571428572,206.6352,206.59234285714288,175.25490833333333
2022-04-05,165.6712,208.3112,216.32834285714287,198.21286666666663
2022-04-06,152.98755714285713,206.2567,208.14184285714285,191.26969999999997
2022-04-07,154.1026285714286,408.1799,164.38834285714287,262.96815833333335
2022-04-08,152.3113,157.2182,157.28772857142857,155.8073
2022-04-09,126.0069,141.43290000000002,143.6936142857143,137.593025
2022-04-10,121.855,123.9557,129.44885714285712,124.94516666666668
2022-04-11,119.37044285714286,145.47629999999998,147.84544285714284,138.55309166666666
2022-04-12,125.2127,131.52069999999998,131.63398571428573,129.71390833333334
2022-04-13,118.45625714285714,140.0134,137.17125714285714,132.89694166666666
2022-04-14,117.01448571428573,122.9647,125.20162857142856,121.88165833333332
2022-04-15,106.1518142857143,106.9411,107.92752857142855,106.9986
2022-04-16,107.83717142857144,122.6366,126.33431428571429,119.3986
2022-04-17,102.03712857142855,103.8331,125.41684285714288,109.60453333333334
2022-04-18,107.31788571428572,151.56560000000002,151.97674285714288,138.77993333333333
2022-04-19,152.07254285714285,216.6414,178.61254285714287,186.71706666666668
2022-04-20,112.12458571428571,161.69549999999998,154.25858571428572,145.06821666666667
2022-04-21,118.42368571428572,141.0754,141.15782857142855,134.49269166666667
2022-04-22,101.1558,122.4488,118.08837142857143,114.96655
2022-04-23,99.5845,119.4309,117.93692857142857,113.20662500000002
2022-04-24,98.54612857142855,101.5515,109.58898571428573,103.0192
2022-04-25,91.8674,91.8674,91.8674,91.86740000000002
2022-04-26,96.14694285714286,110.7036,109.27522857142856,106.0413
2022-04-27,92.4047,107.0212,105.47955714285716,102.30840833333332
2022-04-28,93.27264285714286,102.7795,101.78321428571428,99.71608333333332
2022-04-29,92.8845,99.8979,100.55092857142856,98.04279166666667
2022-04-30,91.9731,99.5828,99.08238571428572,97.21735
2022-05-01,96.0713,96.8078,97.64687142857144,96.83771666666668
2022-05-02,95.12647142857143,98.1987,102.77547142857144,98.637525
2022-05-03,95.6897,111.3187,113.00155714285714,107.251075
2022-05-04,94.75594285714286,141.5772,161.64437142857145,133.773925
2022-05-05,97.1784,108.9801,109.38568571428571,105.65623333333332
2022-05-06,101.94085714285714,118.853,116.6472857142857,113.27695833333333
2022-05-07,100.2074,122.3267,115.23568571428572,113.807025
2022-05-08,97.0817,111.6417,119.0667,109.56065833333332
2022-05-09,92.93224285714288,105.3273,109.63438571428571,102.96830833333333
2022-05-10,98.0247,112.3941,109.7727,107.43845
2022-05-11,90.69054285714286,97.4094,116.87868571428572,101.128275
2022-05-12,97.6055,100.2638,103.25878571428572,100.362
2022-05-13,96.48777142857143,103.0039,102.82305714285717,101.05061666666668
2022-05-14,98.17371428571428,100.4779,100.27214285714284,99.74583333333334
2022-05-15,96.2691,96.9246,98.27295714285717,97.12668333333332
2022-05-16,96.85428571428572,99.5089,101.81057142857142,99.40595833333332
2022-05-17,95.96528571428571,124.59,112.795,112.80091666666668
2022-05-18,91.06148571428572,166.5572,159.73791428571425,142.54865833333335
2022-05-19,115.6085,125.1821,124.1612142857143,122.09204166666666
2022-05-20,101.587,119.272,118.92771428571427,114.01345833333332
2022-05-21,97.1293,113.85920000000002,110.4943,107.99821666666666
2022-05-22,92.73841428571428,95.2413,96.07784285714284,94.75528333333334
2022-05-23,90.89098571428572,96.0283,100.91084285714284,95.95399166666664
2022-05-24,105.39075714285715,106.3553,106.3069,106.05985833333334
2022-05-25,94.8506,101.761,100.70345714285716,99.43701666666668
2022-05-26,95.7361,100.8655,100.7603857142857,99.33876666666669
2022-05-27,92.12002857142856,98.2686,98.16302857142855,96.444475
2022-05-28,94.0055,96.6919,96.5425,95.86479166666668
2022-05-29,95.5221,96.8692,97.13952857142856,96.55514166666666
2022-05-30,96.09615714285714,96.6039,96.83001428571428,96.52175833333332
