Query,Titulo,Fuente,Fecha,url,Hora,Año,Mes,Dia,Dia_semana
energía Colombia,151 embalses podrían ser catastróficos para la conectividad ecológica del Amazonas,Mongabay,2015-09-15,https://news.google.com/rss/articles/CBMitgFBVV95cUxNVzUxN2pmNlZqT09nb3NxZkNncmtJUkR5MkNJWG55enMxeVBlVjhnNlQ0b3lZRXNzMlVXN0JtaHpzcDBfSDBaZ3lURElJanY0SDgzdGgya3pNYk9NRm1xQ1hKNjlRcGlqcXFnaGpVM1VDQ09kampkSlJhQ3FyV2Q0czZPdGNlbjZfaFRSNndnNl9QZ1NXamRQOEJSdEFrOWlVVUJOeUlzRC1LaEtKZm1MVWZ5alJDQQ?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Septiembre,15,Martes
energía Colombia,Central a carbón Gecelca 3 inició operación comercial en el mercado eléctrico,LaRepublica.co,2015-09-15,https://news.google.com/rss/articles/CBMivgFBVV95cUxOSjhDV1R4dy1pRTgySVBkZ0ZDamVJUVVHcS0xaUVaUTlSQWxRcFB5MDdWbW5pX0V1OGJ4X3FWSE5GV1VDUG1YS3ZtaWtNX0hWWHVKak4xU3BHUk1GdmhyNHpUVWxQZThFQndjZmZpLS1STUhESjd5QmxKekZNZjI1dnFPUmFZUUx0dEFncU82UWhRYlEyXzhqcWxBaEE1YldYakowaXpDSm5MemxEQkY0WXNvWXN0N2trMnF0a09R0gG-AUFVX3lxTFBtQXF0Y3JOQk9QYnpxMTBDYVlrY0dmVk4zdUlUeDRNUWoyd3QtWFhaQTNoZmJNUGZwUkp1eEZndFFLVjBzTm1QRjhMbmduTVYzRGNTbGVOdWtHeExaSU9vWXRFQnFBdVhvalZ5TzV5U0V3eUw5OHMwUHhld2NXZ09mSjA0SVJUNDQ3OGpxNUJ4QXh0YjVTZm9CemMxcUV2RVJ6dC1KLUJnbDFpdTFMeTFkMHJlOGN4VmxjRm9NMFE?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Septiembre,15,Martes
energía Colombia,"Colombia prevé sequía ""muy fuerte"" y falta de agua hasta marzo de 2016",El Espectador,2015-10-05,https://news.google.com/rss/articles/CBMi0AFBVV95cUxPSFBvZHd1aTZJQUFpRTRGZG1Db3ZhR0I4QUN3aVNtVVlsTElVcTVfdHdvZnRlVjA2dkNxdU16ZVV1VXVJa25sclZfWDUzSkRqUWtXSnZtNkNISS0tc0VTTExadFVFeW1TRk8yVnd3RWxnTk9oV1FOSVVLZ3JieDIwQUhqUnlRUjNWbmV6akhiT1Q2VEVtT1dBdFRrVC1EZkd5cU5zc0pvQVZPQ1A2cU5wVkl6TE5pdjhlZVBkaE9ROFhpNGtnemppSzg5NXVfUkVR0gHkAUFVX3lxTFBQZlBWb2ZKU2xiOWpmWjlPcU5DRUJpMjFwN3dwWnBhMWphczVreG9ILUg4ZkE3UWNCYkRMWUo4RTdBWkd4b0tBVTRCSDZ1cjRLMnowTTJyZFBTb0RGdmt4ZFBHZWhyMzNsQ0FCdTU2d3c1ck9KX0ljeWRQUHYxdGxTLUNZMnAzVEdOQ09YWGFoM1lGNGlsSVFhTVprM1BXaXFLVlVZWUtOTGpZeHNxQ1lTVGlYOXlLVm5uZVU0LU9KelVHajhYc1hBbjA3MzhaaVAtcVdNYVU0TmwxbHR0VnF0amZ5eA?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Octubre,5,Lunes
energía Colombia,Inicia operaciones planta hidroeléctrica en Colombia -,Centro Urbano,2015-10-14,https://news.google.com/rss/articles/CBMinwFBVV95cUxQWVpPZlFBVmRPUlRZZTRraTM3OThpNnk4ck9ZRWU1YlY2Qk9Ja3doLXN0RWRXRjFDY3hLNkVOVldBNk83ckhINF9QYVlWb0themNhdUpMSlBmZFJSal9ScEFSVGI1c0hhcUg1TWFOME8tWExjOUh1MjF4UGU3RVUyUzdJR1VLenFGS01LSFVwSEQ2S0lZeEYyTS1wVjNlcVE?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Octubre,14,Miércoles
energía Colombia,Advierten reducción de la capacidad del embalse Miel I en Caldas,El Espectador,2015-10-15,https://news.google.com/rss/articles/CBMiywFBVV95cUxQQXVFeUFUTDhWdTMzbjZxN2xYV0NsOUltZ2pBRWQtLS1ya0pNNExNdG54WE1YOURUVTB0cUhYRWFRZ2NXUGxqVzhPc2FnM1dJQ2JidFk3Q1JGYklaelI5N3g4NXJ4bnc0dmtlYnJHY195U1drSXZJTGp3R2VGQVFnRjF1LUlTcWEyZjNHUl9vTjNScVNpWXBxODhTYklFXzRrOTU3VXo3b3BFR25GdDFVNDBhVDFlS2lNc2gxRGVBS0F3Vk5UZ0VzdGN3ONIB3wFBVV95cUxOeU5sWGV4azN3ZlFiS2paYlhveDVYQ2FjS2pVekdhMzhtdGd0S0dUNk82dWlfbGQyTTRDRmhUR1BKcDhQeW02RUdqQ2tRODdxc2RPN0preDdmMDY5VlNPT1BrNDFXX29vZ1llMDMtNlpHbFJDclZ6Ynl1ZElVYUt1bWpLODk1MVBPVXpwWkx3RVN5ZlBwcnhmcXVlVzFManJGdXVFdUttaVl0MnB1QVlIMWp4dzNwTU16UFZpR25MZmhiLTNSQmFxckFaeUh4cF9iYVU5ci1wRFVzYzN6RlpR?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Octubre,15,Jueves
energía Colombia,Entra en operación central hidroeléctrica de Endesa Chile en Colombia,Revista Nueva Minería,2015-10-16,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOQ2NYbzFyOUVBa3dpVmhrcExyNEs3bFRHRm9jYzRTNUVzUXNHWXk2UndDOU5uR1pQSkxNZ1NObmU0S2YxVXRwbmFJUDh0dWRRRVV1c3Vid3h2TEM3VjgtaXA3N1hxMXF5amRUV1dSNmE5NU95VzNvZ2Y5OW13UEd6Z2RzVWdVM0ROSlZJTnZ5S043VG0yZDRRYTFZYlpRTGJhcTV6WnBTeUV3MGc?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Octubre,16,Viernes
energía Colombia,Curiosidades del gran apagón que amenaza con repetirse,Semana.com,2015-11-04,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQSmJXbm5JaVljQWRMbXRpRkpmMHRUNGppV2RzUGd6QjlaQ2FoZ0h4bFg5UjkzSE1wbzdpamYwQklyU3FLMDVtSUVYUWpWdmJoMUZMVTdidGJTb1pYdVM3T1d1SnFJNXdOUE5MeHphSGNRZndMVWJTa3VuUUZEQVVtUTJFSGpRc3MyUUpQZnRsWDhUX05CaVZTajJUUjBBUkVJOUh1NjQ3S1VlMTF5d3ZGRUZUcWVBNmk0a3lzQjY5Rk9JUdIBxwFBVV95cUxOMGhCNFJ6MHhmTDBGRmRrcW5GY0RIU2pRNzYwTXZUY2V0NWtpWkpLNjd5YWk3OWVyUG1xWUZuMmROcUpDWExicHFOakhTS2JVMGp3cEZOcVFzUGFNM01KdVppRjl4Z3JwWWdpN2U3WGhsRVY4ZTk4UVYzRmR6b1ZrTEloUDFsdnZ0enVTazhmSF9Bb0ZMUV84VXc1Ulc3WVZySGRUTWVuNDktQ1VhdEhXUVFvazh6VzFwbjBxbUJSUElZS3BwekNJ?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Noviembre,4,Miércoles
energía Colombia,Central hidroeléctrica El Quimbo genera alivio y resistencias | El Colombiano,El Colombiano,2015-11-21,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOclRJSmxvSmxfNENHaEdYRmNEWENST0dBQjl4UFN4TXFycjFMcW10Q2xzSm5oRlJZbFVpUWotblpmbWRsY1loZUhUbGt2ZDF3N1Y5dnFwN0RyaWFuaExnNnVGdUpMYUNrV25tLTFvMVdtZVppUWV2WDlJZThyWndQSE5FanFPeEpzNVBCcHJtdlB1ZTlqbXljTG5MNEpmU080Zy0zdHpRTTFkbTjSAbABQVVfeXFMUHM0TmtZNnZPSUlwTFh0NTZzZEt5NElURHJKZmFmX2V2T0lxOWVQZXRMMkc2SkMyMUNtX0VnV1BQYjNrSnE5bnNJNm5YWFE5azJRRDEzMWRoV0NXYlJQQ3ZVSTliRk1RbUJab1hrQ1I2VnNyYWQ0VDhsbmxGWUdRc3NRUnZOclRUMHF5TnJsYWxmeEpzcVcyRWR3NHRzU3FNdjd2OEpiMmdiTXplM0hjWlM?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Noviembre,21,Sábado
energía Colombia,"Así es la hidroeléctrica El Quimbo, que prendió motores",Portafolio.co,2015-11-17,https://news.google.com/rss/articles/CBMikAFBVV95cUxNOUtqYi16Z01zTVRsNTJvS2twSWNfUldqNlVTNENWeEZ3RVhXYXJEQURUSERrR25RaG9yM0x6czhmV2tPaTNaT0Rwd0Y5dXF4OFNnQ05KYm52VXJtNGdJU0RmZ1FpZzJ0U2JPNDBxWWhpMEpfaXZ1Q1RheGFMZnJyWEh4NWNjenNZTGU2ZXk0WWfSAZYBQVVfeXFMTjhZNUxGcmJRMjZQRWdFdHhtRTV4RTZvUTFxeTFfa3ZpMmRMUmxJRU9FVTlJSDdtZjg2b0ZNek9qbGFmZXVyVWxKN3ljWExkQUY2VDJRNzZKWm4zYUpvZ0hmc3MyQTJxWEgwdllXcmluMHFoa0ZQWk85YnNZU2E4STlsTjNlUW41a0YwTXk3UEdxUVBzb2hn?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Noviembre,17,Martes
energía Colombia,Sin definir ruta de interconexión eléctrica con Colombia,Panamá América,2015-12-09,https://news.google.com/rss/articles/CBMipwFBVV95cUxNY2NRVkNLN3R1SVNzOTB6RG5mRXVrQkQyTHR2TkRRWUFpRHlfUkdfUGQ5UHZVWDVxa1BGTG9nMWVEZVEyeF9RbnhLWDFiM09ISHdIUWxOYUhocnBoU0J3Q3ZLMnFqOEd4UVFHMGxBTWNVd2hGQy1YSm9BV09zQS1NMUVwVXVsUm5lSUZOQ2RxWlFqcTBOQ1doWTVLa3pZck5HaHc4YThScw?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Diciembre,9,Miércoles
