Fecha,reward,pnl_step,pnl_acumulado,margen_inicial,capital_actual,margin_balance_total,sobre_cobertura_kwh,spot_price,future_price_t1,future_price_t2,future_price_t3,future_price_t4,future_price_t5,future_price_t6,covered_kwh_total,action_cont_1,action_cont_2,action_cont_3,action_cont_4,action_cont_5,action_cont_6,action_disc_raw_1,action_disc_raw_2,action_disc_raw_3,action_disc_raw_4,action_disc_raw_5,action_disc_raw_6,action_disc_exec_1,action_disc_exec_2,action_disc_exec_3,action_disc_exec_4,action_disc_exec_5,action_disc_exec_6,nem_slot_1,nem_slot_2,nem_slot_3,nem_slot_4,nem_slot_5,nem_slot_6,margin_calls_cost,transaction_costs,liquidacion_mtm,liquidacion_vencimiento,demanda_cubrir_kwh_1,demanda_cubrir_kwh_2,demanda_cubrir_kwh_3,demanda_cubrir_kwh_4,demanda_cubrir_kwh_5,demanda_cubrir_kwh_6,contratos_netos_1,contratos_netos_2,contratos_netos_3,contratos_netos_4,contratos_netos_5,contratos_netos_6,terminated,truncated,spot_cost,strategy_cost_daily
2025-10-10,-0.6021253239003043,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,176.20810833333334,275.0,317.5,369.32,388.79,388.71,350.19,0.0,-0.9988877773284912,-0.9869656562805176,-0.9986262917518616,0.31349581480026245,-0.757588803768158,-0.9681769609451294,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,11472191.35691755,11472191.35691755
2025-10-14,-0.6122880555369161,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,144.95049166666666,272.0,295.0,367.84,387.51,387.39,349.14,0.0,-0.999186098575592,-0.9450393319129944,-0.9980859756469727,0.2846566438674927,-0.7644069194793701,-0.9650852084159851,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,9542106.376119275,9542106.376119275
2025-10-15,-0.6022241846340077,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,181.60605,272.0,317.5,366.33,386.19,386.07,348.09,0.0,-0.9988396763801575,-0.8350842595100403,-0.9969488978385925,0.23024113476276398,-0.6786889433860779,-0.9464149475097656,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,12563226.684076952,12563226.684076952
2025-10-16,-1.2736160951590563,0.0,0.0,4999584329.6,4902317456.0,97266873.60000001,0.0,176.04509166666665,260.0,292.0,364.83,384.88,384.76,347.05,1080000.0,-0.9960725903511047,-0.5667538642883301,-0.9874864816665649,0.49145445227622986,-0.5847800374031067,-0.9061031341552734,-1,-1,-1,1,-1,-1,0,0,0,1,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,415670.4,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,3,0,0,0,0,11808486.83072825,12224157.23072825
2025-10-17,-1.2003546977912996,-1501199.9999999853,-1501199.9999999853,4998083129.6,4902317456.0,95765673.60000002,0.0,160.36165833333334,250.0,310.0,363.3,383.49,383.45,346.01,1080000.0,-0.7799404859542847,-0.6912192106246948,-0.9600386023521423,0.09009180963039398,-0.5497521162033081,-0.7170076370239258,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,-1501199.9999999853,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,11446505.163735718,12947705.163735703
2025-10-20,-1.1920503274463394,-1490399.999999995,-2991599.9999999804,4996592729.6,4902317456.0,94275273.60000002,0.0,147.291425,225.0,300.0,361.77,382.11,382.15,344.97,1080000.0,-0.3451022207736969,-0.7840939164161682,-0.9049999117851257,0.10084483027458191,-0.5405803918838501,-0.577061116695404,0,-1,-1,0,-1,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,-1490399.999999995,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,9835225.976927426,11325625.97692742
2025-10-21,-1.5635433820370264,0.0,-2991599.9999999804,4996180007.6,4839996434.0,156183573.60000002,0.0,179.39419166666667,225.0,300.0,361.77,382.11,382.15,344.97,2160000.0,0.35301122069358826,-0.7239434123039246,0.3250654637813568,0.12104631960391998,0.7457652688026428,-0.3740502595901489,0,-1,0,0,1,0,0,0,0,0,1,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,412722.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,3,0,0,0,13546438.41934921,13959160.41934921
2025-10-22,-2.6612717533046624,-5853600.000000017,-8845199.999999996,4989744114.8,4703157626.0,286586488.8,0.0,123.32715833333332,225.0,300.0,358.74,379.32,379.52,342.83,4320000.0,0.7418585419654846,-0.7806835770606995,0.7081890106201172,0.35272103548049927,0.7175815105438232,-0.48728442192077637,1,-1,1,0,1,-1,1,0,1,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,582292.8,-5853600.000000017,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,4,0,2,0,0,0,0,0,9387598.668902367,15823491.468902385
2025-10-23,-2.3869566347957516,14565600.000000034,5720400.000000037,5004309714.8,4717165226.0,287144488.8,0.0,137.81476666666666,220.0,285.0,357.23,390.0,390.0,370.0,4320000.0,0.8107412457466125,-0.6760212182998657,0.7614762187004089,0.9492037296295166,0.9581621885299683,-0.4248253405094147,1,-1,1,1,1,0,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,14565600.000000034,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,10817389.051670166,-3748210.948329868
2025-10-24,-2.720700343484623,-4219200.00000001,1501200.000000027,5000090514.8,4717165226.0,282925288.8,0.0,125.450225,220.0,290.0,355.69,388.48,388.64,368.82,4320000.0,0.9997023940086365,-0.4155724346637726,0.990399181842804,0.485793799161911,0.9726772904396057,0.015243586152791977,1,0,1,1,1,0,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,-4219200.00000001,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,9923136.256692076,14142336.256692085
