trial,seed,train_reward_mean,train_pnl_mean,train_episode_time_mean,hp_json,score,Ahorro_Total_COP,Costo_Total_Spot_COP,Costo_Total_Estrategia_DDPG_COP,Reduccion_Volatilidad_COP_std,Volatilidad_Estrategia_std,Total_Margin_Calls,Total_Margin_Calls_COP,Sharpe_PnL
3,13,-852.1794003589315,9625813582.950598,16.632415558399952,"{""reward"": {""w_pnl"": 0.6, ""w_coverage"": 1.0, ""w_transaction"": 0.2, ""w_opportunity"": 0.2, ""w_capital_stress"": 0.4, ""w_margin_call"": 0.6, ""w_carry"": 0.15, ""w_risk"": 0.08, ""w_overhedge"": 0.05}, ""lstm"": {""sequence_length"": 14, ""hidden_size"": 128, ""num_layers"": 1, ""dropout"": 0.0}, ""ddpg"": {""actor_lr"": 1e-05, ""critic_lr"": 0.0001, ""gamma"": 0.99, ""tau"": 0.005, ""batch_size"": 128, ""buffer_capacity"": 200000, ""exploration_noise_std"": 0.1, ""exploration_noise_min_std"": 0.03, ""exploration_noise_decay"": 0.9995}, ""general"": {""discretize_limit"": 0.45, ""total_episodes"": 200}}",402273518.40000033,415908518.40000033,1207815909.4542017,791907391.0542014,-33971086.62137889,39597982.861118644,2,54540000.0,0.14064737476849018
10,20,-89.9067737841567,12414659940.382053,19.937333650002255,"{""reward"": {""w_pnl"": 0.5, ""w_coverage"": 0.1, ""w_transaction"": 0.2, ""w_opportunity"": 0.1, ""w_capital_stress"": 0.4, ""w_margin_call"": 0.2, ""w_carry"": 0.08, ""w_risk"": 0.08, ""w_overhedge"": 0.12}, ""lstm"": {""sequence_length"": 21, ""hidden_size"": 64, ""num_layers"": 2, ""dropout"": 0.1}, ""ddpg"": {""actor_lr"": 0.0001, ""critic_lr"": 0.0001, ""gamma"": 0.99, ""tau"": 0.005, ""batch_size"": 256, ""buffer_capacity"": 400000, ""exploration_noise_std"": 0.15, ""exploration_noise_min_std"": 0.05, ""exploration_noise_decay"": 0.9992}, ""general"": {""discretize_limit"": 0.45, ""total_episodes"": 200}}",173096852.4000002,240506852.4000002,1127601728.646347,887094876.2463468,-39962671.50142661,45602303.90519533,3,269640000.0,0.08002971922941952
5,15,-337.05702083960983,12845081177.060822,16.506151845699787,"{""reward"": {""w_pnl"": 0.65, ""w_coverage"": 0.5, ""w_transaction"": 0.15, ""w_opportunity"": 0.2, ""w_capital_stress"": 0.6, ""w_margin_call"": 0.05, ""w_carry"": 0.15, ""w_risk"": 0.0, ""w_overhedge"": 0.08}, ""lstm"": {""sequence_length"": 21, ""hidden_size"": 64, ""num_layers"": 1, ""dropout"": 0.1}, ""ddpg"": {""actor_lr"": 3e-05, ""critic_lr"": 0.0001, ""gamma"": 0.97, ""tau"": 0.002, ""batch_size"": 256, ""buffer_capacity"": 200000, ""exploration_noise_std"": 0.2, ""exploration_noise_min_std"": 0.05, ""exploration_noise_decay"": 0.9992}, ""general"": {""discretize_limit"": 0.5, ""total_episodes"": 200}}",120284434.80000019,166426534.8000002,1127601728.646347,961175193.8463469,-43967513.95598209,49607146.359750815,3,184568400.0,0.053343028885108924
7,17,-170.0894176086453,18481696319.65978,41.08589030830008,"{""reward"": {""w_pnl"": 0.4, ""w_coverage"": 0.2, ""w_transaction"": 0.05, ""w_opportunity"": 0.3, ""w_capital_stress"": 1.0, ""w_margin_call"": 0.7, ""w_carry"": 0.12, ""w_risk"": 0.05, ""w_overhedge"": 0.12}, ""lstm"": {""sequence_length"": 21, ""hidden_size"": 256, ""num_layers"": 2, ""dropout"": 0.1}, ""ddpg"": {""actor_lr"": 0.0001, ""critic_lr"": 0.0001, ""gamma"": 0.99, ""tau"": 0.002, ""batch_size"": 256, ""buffer_capacity"": 200000, ""exploration_noise_std"": 0.2, ""exploration_noise_min_std"": 0.01, ""exploration_noise_decay"": 0.9992}, ""general"": {""discretize_limit"": 0.35, ""total_episodes"": 200}}",30936830.38289857,111057530.38289857,1127601728.646347,1016544198.2634485,-49477773.131797045,55117405.53556577,6,320482800.0,0.0309139006519735
19,29,-392.093823573772,9058836106.39664,15.16908248740001,"{""reward"": {""w_pnl"": 0.65, ""w_coverage"": 0.75, ""w_transaction"": 0.25, ""w_opportunity"": 0.1, ""w_capital_stress"": 0.6, ""w_margin_call"": 0.05, ""w_carry"": 0.0, ""w_risk"": 0.0, ""w_overhedge"": 0.0}, ""lstm"": {""sequence_length"": 30, ""hidden_size"": 64, ""num_layers"": 1, ""dropout"": 0.1}, ""ddpg"": {""actor_lr"": 1e-05, ""critic_lr"": 5e-05, ""gamma"": 0.99, ""tau"": 0.005, ""batch_size"": 128, ""buffer_capacity"": 400000, ""exploration_noise_std"": 0.1, ""exploration_noise_min_std"": 0.05, ""exploration_noise_decay"": 0.999}, ""general"": {""discretize_limit"": 0.35, ""total_episodes"": 200}}",21915176.399999976,21915176.399999976,1027795757.7572685,1005880581.3572686,-1421239.0829777187,6504280.112914969,0,0.0,0.08717697058689163
1,11,-82.04499910488273,13663944413.334377,16.91866463320007,"{""reward"": {""w_pnl"": 0.7, ""w_coverage"": 0.0, ""w_transaction"": 0.2, ""w_opportunity"": 0.2, ""w_capital_stress"": 0.4, ""w_margin_call"": 0.1, ""w_carry"": 0.12, ""w_risk"": 0.12, ""w_overhedge"": 0.08}, ""lstm"": {""sequence_length"": 30, ""hidden_size"": 64, ""num_layers"": 1, ""dropout"": 0.1}, ""ddpg"": {""actor_lr"": 3e-05, ""critic_lr"": 5e-05, ""gamma"": 0.97, ""tau"": 0.005, ""batch_size"": 256, ""buffer_capacity"": 200000, ""exploration_noise_std"": 0.15, ""exploration_noise_min_std"": 0.01, ""exploration_noise_decay"": 0.9995}, ""general"": {""discretize_limit"": 0.45, ""total_episodes"": 150}}",15945011.99999988,15945011.99999988,1027795757.7572685,1011850745.7572687,-7797011.208999855,12880052.238937106,0,0.0,0.03881770489597227
13,23,-263.20816950921966,13666737481.67509,17.69651209999938,"{""reward"": {""w_pnl"": 0.7, ""w_coverage"": 0.5, ""w_transaction"": 0.05, ""w_opportunity"": 0.3, ""w_capital_stress"": 0.4, ""w_margin_call"": 0.05, ""w_carry"": 0.15, ""w_risk"": 0.08, ""w_overhedge"": 0.12}, ""lstm"": {""sequence_length"": 21, ""hidden_size"": 256, ""num_layers"": 1, ""dropout"": 0.0}, ""ddpg"": {""actor_lr"": 1e-05, ""critic_lr"": 0.0003, ""gamma"": 0.99, ""tau"": 0.001, ""batch_size"": 128, ""buffer_capacity"": 400000, ""exploration_noise_std"": 0.1, ""exploration_noise_min_std"": 0.03, ""exploration_noise_decay"": 0.9992}, ""general"": {""discretize_limit"": 0.45, ""total_episodes"": 100}}",-4420800.0,-4420800.0,1127601728.646347,1132022528.646347,-14563.274054887705,5654195.677823615,0,0.0,-0.12309149097933274
17,27,-54.047050884446875,19273452347.911766,20.14708544979876,"{""reward"": {""w_pnl"": 0.6, ""w_coverage"": 0.1, ""w_transaction"": 0.15, ""w_opportunity"": 0.3, ""w_capital_stress"": 1.0, ""w_margin_call"": 0.5, ""w_carry"": 0.05, ""w_risk"": 0.08, ""w_overhedge"": 0.0}, ""lstm"": {""sequence_length"": 30, ""hidden_size"": 64, ""num_layers"": 2, ""dropout"": 0.0}, ""ddpg"": {""actor_lr"": 1e-05, ""critic_lr"": 0.0003, ""gamma"": 0.99, ""tau"": 0.001, ""batch_size"": 256, ""buffer_capacity"": 200000, ""exploration_noise_std"": 0.15, ""exploration_noise_min_std"": 0.03, ""exploration_noise_decay"": 0.999}, ""general"": {""discretize_limit"": 0.4, ""total_episodes"": 200}}",-19435500.0,-19435500.0,1027795757.7572685,1047231257.7572685,-482807.40181148145,5565848.431748732,0,0.0,-0.17480147469502527
12,22,-131.95117943904478,17880734747.9205,20.451191679399926,"{""reward"": {""w_pnl"": 0.7, ""w_coverage"": 0.2, ""w_transaction"": 0.1, ""w_opportunity"": 0.1, ""w_capital_stress"": 0.8, ""w_margin_call"": 0.05, ""w_carry"": 0.15, ""w_risk"": 0.0, ""w_overhedge"": 0.05}, ""lstm"": {""sequence_length"": 30, ""hidden_size"": 256, ""num_layers"": 1, ""dropout"": 0.1}, ""ddpg"": {""actor_lr"": 1e-05, ""critic_lr"": 0.0003, ""gamma"": 0.99, ""tau"": 0.005, ""batch_size"": 128, ""buffer_capacity"": 400000, ""exploration_noise_std"": 0.1, ""exploration_noise_min_std"": 0.03, ""exploration_noise_decay"": 0.9995}, ""general"": {""discretize_limit"": 0.4, ""total_episodes"": 200}}",-20668564.80000007,-20668564.80000007,1027795757.7572685,1048464322.5572686,-281033.5188062005,5364074.548743451,0,0.0,-0.3447172657808804
11,21,-666.4679956917932,15804522618.26691,32.1105763871994,"{""reward"": {""w_pnl"": 0.6, ""w_coverage"": 1.0, ""w_transaction"": 0.2, ""w_opportunity"": 0.2, ""w_capital_stress"": 1.0, ""w_margin_call"": 0.05, ""w_carry"": 0.25, ""w_risk"": 0.08, ""w_overhedge"": 0.12}, ""lstm"": {""sequence_length"": 14, ""hidden_size"": 256, ""num_layers"": 2, ""dropout"": 0.0}, ""ddpg"": {""actor_lr"": 0.0001, ""critic_lr"": 0.0003, ""gamma"": 0.99, ""tau"": 0.001, ""batch_size"": 256, ""buffer_capacity"": 400000, ""exploration_noise_std"": 0.1, ""exploration_noise_min_std"": 0.05, ""exploration_noise_decay"": 0.9992}, ""general"": {""discretize_limit"": 0.45, ""total_episodes"": 150}}",-138918812.39999962,-87957212.39999962,1207815909.4542017,1295773121.8542013,-20723809.394689318,26350705.63442907,1,203846400.0,-0.04309600422931832
