trial,seed,train_reward_mean,train_pnl_mean,hp_json,score,Ahorro_Total_COP,Costo_Total_Spot_COP,Costo_Total_Estrategia_PPO_COP,Reduccion_Volatilidad_COP_std,Volatilidad_Estrategia_std,Total_Margin_Calls,Total_Margin_Calls_COP,Sharpe_PnL
12,22,-1263.353074004864,17798708499.550972,"{""reward"": {""w_pnl"": 0.6, ""w_coverage"": 0.35, ""w_transaction"": 0.05, ""w_opportunity"": 0.1, ""w_opportunity_expiry"": 0.05, ""w_capital_stress"": 0.8, ""w_margin_call"": 0.1, ""w_carry"": 0.05, ""w_risk"": 0.12, ""w_overhedge"": 0.12, ""w_invalid_action"": 0.4, ""scale_pnl"": 50000000.0, ""scale_money"": 10000000.0, ""scale_tx"": 1000000.0, ""scale_kwh"": 5000000.0, ""scale_opportunity"": 1000000000.0, ""scale_opportunity_expiry"": 800000.0, ""scale_risk"": 8000000000000000.0, ""scale_carry"": 100000000.0}, ""lstm"": {""sequence_length"": 14, ""hidden_size"": 64, ""num_layers"": 1, ""dropout"": 0.1}, ""ppo"": {""actor_lr"": 1e-05, ""critic_lr"": 0.0003, ""gamma"": 0.99, ""gae_lambda"": 0.9, ""clip_eps"": 0.25, ""entropy_coef"": 0.0, ""value_coef"": 0.25, ""max_grad_norm"": 0.3, ""target_kl"": 0.05, ""rollout_steps"": 512, ""ppo_epochs"": 15, ""mini_batch_size"": 128, ""action_std_init"": 0.4, ""action_std_min"": 0.08, ""action_std_decay"": 0.9998}, ""general"": {""discretize_limit"": 0.1, ""total_episodes"": 150, ""train_threshold"": 200, ""test_ratio"": 0.09}}",0.0,0.0,1207815909.4542017,1207815909.4542017,0.0,5626896.239739754,0,0.0,0.0
4,14,-632.0120076765727,4693266907.327703,"{""reward"": {""w_pnl"": 0.5, ""w_coverage"": 0.25, ""w_transaction"": 0.15, ""w_opportunity"": 0.1, ""w_opportunity_expiry"": 0.05, ""w_capital_stress"": 0.2, ""w_margin_call"": 0.5, ""w_carry"": 0.0, ""w_risk"": 0.08, ""w_overhedge"": 0.08, ""w_invalid_action"": 0.2, ""scale_pnl"": 50000000.0, ""scale_money"": 10000000.0, ""scale_tx"": 1000000.0, ""scale_kwh"": 5000000.0, ""scale_opportunity"": 1000000000.0, ""scale_opportunity_expiry"": 800000.0, ""scale_risk"": 8000000000000000.0, ""scale_carry"": 100000000.0}, ""lstm"": {""sequence_length"": 14, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.1}, ""ppo"": {""actor_lr"": 0.0001, ""critic_lr"": 5e-05, ""gamma"": 0.99, ""gae_lambda"": 0.95, ""clip_eps"": 0.15, ""entropy_coef"": 0.01, ""value_coef"": 0.75, ""max_grad_norm"": 0.5, ""target_kl"": 0.05, ""rollout_steps"": 128, ""ppo_epochs"": 5, ""mini_batch_size"": 128, ""action_std_init"": 0.5, ""action_std_min"": 0.05, ""action_std_decay"": 0.999}, ""general"": {""discretize_limit"": 0.25, ""total_episodes"": 200, ""train_threshold"": 200, ""test_ratio"": 0.09}}",0.0,0.0,1207815909.4542017,1207815909.4542017,0.0,5626896.239739754,0,0.0,0.0
14,24,-596.3381244298484,5420873364.772251,"{""reward"": {""w_pnl"": 0.2, ""w_coverage"": 0.25, ""w_transaction"": 0.15, ""w_opportunity"": 0.2, ""w_opportunity_expiry"": 0.2, ""w_capital_stress"": 0.4, ""w_margin_call"": 0.05, ""w_carry"": 0.05, ""w_risk"": 0.05, ""w_overhedge"": 0.08, ""w_invalid_action"": 0.2, ""scale_pnl"": 50000000.0, ""scale_money"": 10000000.0, ""scale_tx"": 1000000.0, ""scale_kwh"": 5000000.0, ""scale_opportunity"": 1000000000.0, ""scale_opportunity_expiry"": 800000.0, ""scale_risk"": 8000000000000000.0, ""scale_carry"": 100000000.0}, ""lstm"": {""sequence_length"": 14, ""hidden_size"": 64, ""num_layers"": 2, ""dropout"": 0.1}, ""ppo"": {""actor_lr"": 0.0001, ""critic_lr"": 5e-05, ""gamma"": 0.97, ""gae_lambda"": 0.9, ""clip_eps"": 0.1, ""entropy_coef"": 0.0, ""value_coef"": 0.25, ""max_grad_norm"": 1.0, ""target_kl"": 0.02, ""rollout_steps"": 128, ""ppo_epochs"": 15, ""mini_batch_size"": 128, ""action_std_init"": 0.25, ""action_std_min"": 0.03, ""action_std_decay"": 0.9998}, ""general"": {""discretize_limit"": 0.25, ""total_episodes"": 200, ""train_threshold"": 200, ""test_ratio"": 0.09}}",0.0,0.0,1207815909.4542017,1207815909.4542017,0.0,5626896.239739754,0,0.0,0.0
15,25,-1425.3160753009997,4632196115.517038,"{""reward"": {""w_pnl"": 0.3, ""w_coverage"": 0.5, ""w_transaction"": 0.2, ""w_opportunity"": 0.0, ""w_opportunity_expiry"": 0.05, ""w_capital_stress"": 0.2, ""w_margin_call"": 0.3, ""w_carry"": 0.15, ""w_risk"": 0.12, ""w_overhedge"": 0.12, ""w_invalid_action"": 0.4, ""scale_pnl"": 50000000.0, ""scale_money"": 10000000.0, ""scale_tx"": 1000000.0, ""scale_kwh"": 5000000.0, ""scale_opportunity"": 1000000000.0, ""scale_opportunity_expiry"": 800000.0, ""scale_risk"": 8000000000000000.0, ""scale_carry"": 100000000.0}, ""lstm"": {""sequence_length"": 14, ""hidden_size"": 64, ""num_layers"": 2, ""dropout"": 0.1}, ""ppo"": {""actor_lr"": 3e-05, ""critic_lr"": 0.0003, ""gamma"": 0.99, ""gae_lambda"": 0.97, ""clip_eps"": 0.1, ""entropy_coef"": 0.005, ""value_coef"": 0.5, ""max_grad_norm"": 0.5, ""target_kl"": 0.02, ""rollout_steps"": 128, ""ppo_epochs"": 10, ""mini_batch_size"": 64, ""action_std_init"": 0.35, ""action_std_min"": 0.05, ""action_std_decay"": 0.999}, ""general"": {""discretize_limit"": 0.3, ""total_episodes"": 150, ""train_threshold"": 200, ""test_ratio"": 0.09}}",0.0,0.0,1207815909.4542017,1207815909.4542017,0.0,5626896.239739754,0,0.0,0.0
16,26,-322.39281228000175,20283611536.23919,"{""reward"": {""w_pnl"": 0.3, ""w_coverage"": 0.1, ""w_transaction"": 0.05, ""w_opportunity"": 0.1, ""w_opportunity_expiry"": 0.1, ""w_capital_stress"": 0.2, ""w_margin_call"": 0.5, ""w_carry"": 0.08, ""w_risk"": 0.12, ""w_overhedge"": 0.05, ""w_invalid_action"": 0.1, ""scale_pnl"": 50000000.0, ""scale_money"": 10000000.0, ""scale_tx"": 1000000.0, ""scale_kwh"": 5000000.0, ""scale_opportunity"": 1000000000.0, ""scale_opportunity_expiry"": 800000.0, ""scale_risk"": 8000000000000000.0, ""scale_carry"": 100000000.0}, ""lstm"": {""sequence_length"": 30, ""hidden_size"": 64, ""num_layers"": 1, ""dropout"": 0.0}, ""ppo"": {""actor_lr"": 0.0001, ""critic_lr"": 5e-05, ""gamma"": 0.97, ""gae_lambda"": 0.9, ""clip_eps"": 0.2, ""entropy_coef"": 0.02, ""value_coef"": 0.25, ""max_grad_norm"": 0.3, ""target_kl"": 0.03, ""rollout_steps"": 512, ""ppo_epochs"": 15, ""mini_batch_size"": 256, ""action_std_init"": 0.25, ""action_std_min"": 0.05, ""action_std_decay"": 0.9995}, ""general"": {""discretize_limit"": 0.25, ""total_episodes"": 150, ""train_threshold"": 200, ""test_ratio"": 0.09}}",0.0,0.0,1027795757.7572685,1027795757.7572685,0.0,5083041.029937251,0,0.0,0.0
17,27,-424.12997146600026,19193244625.316456,"{""reward"": {""w_pnl"": 0.3, ""w_coverage"": 0.2, ""w_transaction"": 0.05, ""w_opportunity"": 0.1, ""w_opportunity_expiry"": 0.05, ""w_capital_stress"": 0.8, ""w_margin_call"": 0.1, ""w_carry"": 0.08, ""w_risk"": 0.12, ""w_overhedge"": 0.05, ""w_invalid_action"": 0.1, ""scale_pnl"": 50000000.0, ""scale_money"": 10000000.0, ""scale_tx"": 1000000.0, ""scale_kwh"": 5000000.0, ""scale_opportunity"": 1000000000.0, ""scale_opportunity_expiry"": 800000.0, ""scale_risk"": 8000000000000000.0, ""scale_carry"": 100000000.0}, ""lstm"": {""sequence_length"": 21, ""hidden_size"": 256, ""num_layers"": 2, ""dropout"": 0.0}, ""ppo"": {""actor_lr"": 3e-05, ""critic_lr"": 0.0003, ""gamma"": 0.99, ""gae_lambda"": 0.9, ""clip_eps"": 0.25, ""entropy_coef"": 0.01, ""value_coef"": 0.75, ""max_grad_norm"": 1.0, ""target_kl"": 0.05, ""rollout_steps"": 128, ""ppo_epochs"": 15, ""mini_batch_size"": 128, ""action_std_init"": 0.4, ""action_std_min"": 0.03, ""action_std_decay"": 0.999}, ""general"": {""discretize_limit"": 0.25, ""total_episodes"": 100, ""train_threshold"": 200, ""test_ratio"": 0.09}}",0.0,0.0,1127601728.646347,1127601728.646347,0.0,5639632.403768728,0,0.0,0.0
18,28,-1143.936406890652,12518154771.04181,"{""reward"": {""w_pnl"": 0.4, ""w_coverage"": 0.5, ""w_transaction"": 0.05, ""w_opportunity"": 0.1, ""w_opportunity_expiry"": 0.0, ""w_capital_stress"": 1.2, ""w_margin_call"": 0.05, ""w_carry"": 0.05, ""w_risk"": 0.0, ""w_overhedge"": 0.0, ""w_invalid_action"": 0.4, ""scale_pnl"": 50000000.0, ""scale_money"": 10000000.0, ""scale_tx"": 1000000.0, ""scale_kwh"": 5000000.0, ""scale_opportunity"": 1000000000.0, ""scale_opportunity_expiry"": 800000.0, ""scale_risk"": 8000000000000000.0, ""scale_carry"": 100000000.0}, ""lstm"": {""sequence_length"": 21, ""hidden_size"": 64, ""num_layers"": 2, ""dropout"": 0.0}, ""ppo"": {""actor_lr"": 1e-05, ""critic_lr"": 5e-05, ""gamma"": 0.99, ""gae_lambda"": 0.95, ""clip_eps"": 0.25, ""entropy_coef"": 0.01, ""value_coef"": 0.25, ""max_grad_norm"": 1.0, ""target_kl"": 0.02, ""rollout_steps"": 512, ""ppo_epochs"": 10, ""mini_batch_size"": 256, ""action_std_init"": 0.35, ""action_std_min"": 0.08, ""action_std_decay"": 0.9998}, ""general"": {""discretize_limit"": 0.15, ""total_episodes"": 200, ""train_threshold"": 200, ""test_ratio"": 0.09}}",0.0,0.0,1127601728.646347,1127601728.646347,0.0,5639632.403768728,0,0.0,0.0
19,29,-900.6155161884102,6193276284.078969,"{""reward"": {""w_pnl"": 0.3, ""w_coverage"": 0.35, ""w_transaction"": 0.1, ""w_opportunity"": 0.2, ""w_opportunity_expiry"": 0.2, ""w_capital_stress"": 1.2, ""w_margin_call"": 0.3, ""w_carry"": 0.05, ""w_risk"": 0.0, ""w_overhedge"": 0.05, ""w_invalid_action"": 0.2, ""scale_pnl"": 50000000.0, ""scale_money"": 10000000.0, ""scale_tx"": 1000000.0, ""scale_kwh"": 5000000.0, ""scale_opportunity"": 1000000000.0, ""scale_opportunity_expiry"": 800000.0, ""scale_risk"": 8000000000000000.0, ""scale_carry"": 100000000.0}, ""lstm"": {""sequence_length"": 14, ""hidden_size"": 256, ""num_layers"": 2, ""dropout"": 0.1}, ""ppo"": {""actor_lr"": 1e-05, ""critic_lr"": 5e-05, ""gamma"": 0.97, ""gae_lambda"": 0.95, ""clip_eps"": 0.15, ""entropy_coef"": 0.005, ""value_coef"": 0.5, ""max_grad_norm"": 0.5, ""target_kl"": 0.02, ""rollout_steps"": 128, ""ppo_epochs"": 10, ""mini_batch_size"": 128, ""action_std_init"": 0.4, ""action_std_min"": 0.03, ""action_std_decay"": 0.999}, ""general"": {""discretize_limit"": 0.25, ""total_episodes"": 150, ""train_threshold"": 200, ""test_ratio"": 0.09}}",0.0,0.0,1207815909.4542017,1207815909.4542017,0.0,5626896.239739754,0,0.0,0.0
1,11,-313.97157206708755,17100327845.512814,"{""reward"": {""w_pnl"": 0.6, ""w_coverage"": 0.1, ""w_transaction"": 0.2, ""w_opportunity"": 0.1, ""w_opportunity_expiry"": 0.0, ""w_capital_stress"": 0.4, ""w_margin_call"": 0.3, ""w_carry"": 0.12, ""w_risk"": 0.08, ""w_overhedge"": 0.05, ""w_invalid_action"": 0.1, ""scale_pnl"": 50000000.0, ""scale_money"": 10000000.0, ""scale_tx"": 1000000.0, ""scale_kwh"": 5000000.0, ""scale_opportunity"": 1000000000.0, ""scale_opportunity_expiry"": 800000.0, ""scale_risk"": 8000000000000000.0, ""scale_carry"": 100000000.0}, ""lstm"": {""sequence_length"": 30, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.0}, ""ppo"": {""actor_lr"": 1e-05, ""critic_lr"": 0.0003, ""gamma"": 0.99, ""gae_lambda"": 0.9, ""clip_eps"": 0.25, ""entropy_coef"": 0.005, ""value_coef"": 0.75, ""max_grad_norm"": 0.5, ""target_kl"": 0.05, ""rollout_steps"": 256, ""ppo_epochs"": 10, ""mini_batch_size"": 256, ""action_std_init"": 0.4, ""action_std_min"": 0.05, ""action_std_decay"": 0.999}, ""general"": {""discretize_limit"": 0.2, ""total_episodes"": 200, ""train_threshold"": 200, ""test_ratio"": 0.09}}",0.0,0.0,1027795757.7572685,1027795757.7572685,0.0,5083041.029937251,0,0.0,0.0
6,16,-781.8275677817314,18895781070.25133,"{""reward"": {""w_pnl"": 0.6, ""w_coverage"": 0.5, ""w_transaction"": 0.1, ""w_opportunity"": 0.2, ""w_opportunity_expiry"": 0.05, ""w_capital_stress"": 0.6, ""w_margin_call"": 0.5, ""w_carry"": 0.0, ""w_risk"": 0.05, ""w_overhedge"": 0.12, ""w_invalid_action"": 0.1, ""scale_pnl"": 50000000.0, ""scale_money"": 10000000.0, ""scale_tx"": 1000000.0, ""scale_kwh"": 5000000.0, ""scale_opportunity"": 1000000000.0, ""scale_opportunity_expiry"": 800000.0, ""scale_risk"": 8000000000000000.0, ""scale_carry"": 100000000.0}, ""lstm"": {""sequence_length"": 14, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.0}, ""ppo"": {""actor_lr"": 0.0001, ""critic_lr"": 0.0001, ""gamma"": 0.97, ""gae_lambda"": 0.9, ""clip_eps"": 0.1, ""entropy_coef"": 0.01, ""value_coef"": 0.25, ""max_grad_norm"": 1.0, ""target_kl"": 0.05, ""rollout_steps"": 128, ""ppo_epochs"": 10, ""mini_batch_size"": 256, ""action_std_init"": 0.5, ""action_std_min"": 0.03, ""action_std_decay"": 0.9995}, ""general"": {""discretize_limit"": 0.15, ""total_episodes"": 100, ""train_threshold"": 200, ""test_ratio"": 0.09}}",-638505730.7999995,-638505730.7999995,1207815909.4542017,1846321640.2542012,-65799252.59608572,71426148.83582547,8,924552000.0,-0.11933499812439737
