episode,episode_reward,episode_pnl,episode_tx_cost,episode_ahorro_cop,margin_calls_count,overhedging_penalty_kwh_sum,episode_time_sec,actor_loss,critic_loss,entropy,approx_kl
1,-960.2357838705441,6864716840.430587,1120028333.649766,5744688506.780823,88,1434135533.8961844,13.29036049998831,-0.004664889490231872,35.8230828166008,4.354747772216797,0.00048063318245112897
2,-909.5061078072117,6858621836.30538,1069793629.2000005,5788828207.105381,61,1283427522.6631026,12.66100662498502,-0.006935683032497764,30.321470892429353,4.351747512817383,0.0006277826614677906
3,-943.2100004055404,8435759318.760166,1067907139.8724489,7367852178.887714,79,1469320671.4415476,12.554350374994101,-0.006168367899954319,60.451027631759644,4.3487467765808105,0.0019955131690949203
4,-987.7423414894705,4318194443.707314,1126528509.0851939,3191665934.622119,82,1451116371.5088053,12.490964458993403,-0.0015161453075023701,122.08114013671874,4.34574556350708,0.00034132665840882483
5,-965.5632626519987,6079427860.27105,1077200614.8000002,5002227245.4710455,67,1434854486.5882037,12.590987125004176,-0.003923194482922554,8.560835713148117,4.342745304107666,0.0008981511928141117
6,-943.1576564101276,7306339604.845923,1062348258.5186844,6243991346.327231,76,1426779072.5557556,12.434772083011921,-0.006315041054040194,17.589481234550476,4.339744567871094,0.0010244708508253097
7,-953.9366600738183,6379203770.335058,1072762585.7039999,5306441184.63106,90,1518793951.3258917,12.457615416991757,-0.0033225563121959565,32.19175827503204,4.3367438316345215,2.095731906592846e-05
8,-955.3752843456999,7904704477.5465765,1089693119.3040006,6815011358.242568,77,1440882470.1893225,12.614598583983025,-0.0029055290715492175,163.3389144897461,4.333742618560791,0.0009878796169585868
9,-868.9350239415776,9060677640.348408,1087330240.9684494,7973347399.379962,54,1384946247.0734978,12.579806374997133,-0.003195847570896149,4.563537749648094,4.330741882324219,-0.0009752518031746149
10,-937.0941338780104,5942155513.069684,1096675696.9684489,4845479816.101237,63,1386972133.9926498,12.53648737500771,-0.007798036281019449,22.998717784881592,4.327741622924805,0.0015681301709264516
11,-958.0837972284779,5888538981.092984,1055942686.8000011,4832596294.292986,78,1360666685.0461512,12.59755041700555,-0.006092756427824498,34.66207871437073,4.324740409851074,0.0008573203813284636
12,-896.6406997594911,9175503165.584278,1051426942.118684,8124076223.465591,68,1445814464.6090493,12.53388524998445,-0.0008729754894462261,283.3619445800781,4.32174015045166,-6.036626064234163e-05
13,-946.6604979265484,6555633354.828496,1076806803.6000001,5478826551.228505,90,1445959972.4133918,12.496366583975032,-0.003544020839035511,5.521240994334221,4.31873893737793,0.00019241734407842158
14,-941.8017052028359,5755542413.274433,1092073575.6000001,4663468837.674431,64,1315420088.1291018,12.600173167011235,-0.007121027773246169,13.156877684593201,4.315738677978516,0.003333652438595891
15,-905.5890445835727,8504921459.140877,1030963036.1040013,7473958423.03688,71,1258340924.3681867,12.671140374994138,-0.0036232939455658197,34.28954815864563,4.312737941741943,0.0003562521655112505
16,-942.0228957321565,6428976257.140974,1027159049.3039994,5401817207.836979,77,1465336737.643185,12.565170124988072,-0.0013656345699957662,391.2223266601562,4.309736728668213,-0.0002050445224980546
17,-932.8789632450298,6135852857.919887,1063956014.5665098,5071896843.3533745,69,1337890122.2020454,12.571393124992028,-0.0036977694369852545,3.138613869249821,4.306735992431641,0.0007412661798298359
18,-927.3077347254218,6261829025.547889,1066907597.3186847,5194921428.22921,78,1302248032.1714768,12.634733916987898,-0.00652336273342371,9.892543649673462,4.303735733032227,0.0013443121686577797
19,-923.1541300265764,8030054389.165803,1069098748.2705097,6960955640.895302,79,1329023347.8478937,12.614735083014239,-0.005297995312139392,32.1583655834198,4.300734519958496,0.0019495809450745583
