Fecha,reward,pnl_step,pnl_acumulado,margen_inicial,capital_actual,margin_balance_total,sobre_cobertura_kwh,spot_price,future_price_t1,future_price_t2,future_price_t3,future_price_t4,future_price_t5,future_price_t6,covered_kwh_total,action_cont_1,action_cont_2,action_cont_3,action_cont_4,action_cont_5,action_cont_6,action_disc_raw_1,action_disc_raw_2,action_disc_raw_3,action_disc_raw_4,action_disc_raw_5,action_disc_raw_6,action_disc_exec_1,action_disc_exec_2,action_disc_exec_3,action_disc_exec_4,action_disc_exec_5,action_disc_exec_6,nem_slot_1,nem_slot_2,nem_slot_3,nem_slot_4,nem_slot_5,nem_slot_6,margin_calls_cost,transaction_costs,liquidacion_mtm,liquidacion_vencimiento,demanda_cubrir_kwh_1,demanda_cubrir_kwh_2,demanda_cubrir_kwh_3,demanda_cubrir_kwh_4,demanda_cubrir_kwh_5,demanda_cubrir_kwh_6,contratos_netos_1,contratos_netos_2,contratos_netos_3,contratos_netos_4,contratos_netos_5,contratos_netos_6,terminated,truncated,terminated_reason,spot_cost,strategy_cost_daily
2025-10-10,-0.10318798585045644,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,176.20810833333334,275.0,317.5,369.32,388.79,388.71,350.19,0.0,-0.09485582262277603,-0.06185240298509598,0.03308429196476936,0.1987796574831009,-0.011744868010282516,-0.1927827149629593,0,0,0,0,0,0,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,running,11472191.35691755,11472191.35691755
2025-10-14,-0.3184320833053743,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,144.95049166666666,272.0,295.0,367.84,387.51,387.39,349.14,0.0,-0.11097250878810883,-0.09328697621822357,0.023609910160303116,0.1947592943906784,-0.014890633523464203,-0.2042628526687622,0,0,0,0,0,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,running,9542106.376119275,9542106.376119275
2025-10-15,-0.3033362769510117,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,181.60605,272.0,317.5,366.33,386.19,386.07,348.09,0.0,-0.10564462095499039,-0.11349884420633316,0.018012620508670807,0.1965409368276596,-0.009367380291223526,-0.21171605587005615,0,0,0,0,0,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,running,12563226.684076952,12563226.684076952
2025-10-16,-0.325739624787761,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,176.04509166666665,260.0,292.0,364.83,384.88,384.76,347.05,0.0,-0.09140032529830933,-0.12747563421726227,0.014104089699685574,0.19971559941768646,8.072890341281891e-05,-0.22116057574748993,0,0,0,0,0,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,running,11808486.83072825,11808486.83072825
2025-10-17,-0.3095074361375798,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,160.36165833333334,250.0,310.0,363.3,383.49,383.45,346.01,0.0,-0.11536313593387604,-0.1464579850435257,0.013032902032136917,0.18746455013751984,-0.013729645870625973,-0.22636531293392181,0,0,0,0,0,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,running,11446505.163735718,11446505.163735718
2025-10-20,-0.3246013524293556,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,147.291425,225.0,300.0,361.77,382.11,382.15,344.97,0.0,-0.1366371512413025,-0.15587785840034485,0.013735243119299412,0.18650312721729279,-0.02886171080172062,-0.2349948287010193,0,0,0,0,0,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,running,9835225.976927426,9835225.976927426
2025-10-21,-0.30000000000000004,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,179.39419166666667,225.0,300.0,361.77,382.11,382.15,344.97,0.0,-0.15715380012989044,-0.16523107886314392,0.014074793085455894,0.17370332777500153,-0.04779947176575661,-0.23728874325752258,0,0,0,0,0,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,running,13546438.41934921,13546438.41934921
2025-10-22,-0.30678791941002465,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,123.32715833333332,225.0,300.0,358.74,379.32,379.52,342.83,0.0,-0.15238024294376373,-0.1786693036556244,-0.0026826311368495226,0.16629312932491302,-0.03372524678707123,-0.2146698236465454,0,0,0,0,0,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,running,9387598.668902367,9387598.668902367
2025-10-23,-0.112873424675602,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,137.81476666666666,220.0,285.0,357.23,390.0,390.0,370.0,0.0,-0.15277127921581268,-0.19098031520843506,-0.03701630234718323,0.17104549705982208,-0.02453695796430111,-0.19785326719284058,0,0,0,0,0,0,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,running,10817389.051670166,10817389.051670166
2025-10-24,-0.3035885564633081,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,125.450225,220.0,290.0,355.69,388.48,388.64,368.82,0.0,-0.1882251799106598,-0.20645630359649658,-0.0692601278424263,0.15883882343769073,-0.0379021018743515,-0.17969472706317902,0,-1,0,0,0,0,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0,running,9923136.256692076,9923136.256692076
