episode,episode_reward,episode_pnl,episode_tx_cost,episode_ahorro_cop,margin_calls_count,overhedging_penalty_kwh_sum,episode_time_sec
1,-575.4068863772702,148201603.74698433,68598054.0,79603549.74698432,186,1449534286.7505505,9.365942499949597
2,-1752.9275912096446,-4843142986.014057,94947796.80000003,-4938090782.814056,198,2238980787.613992,11.25892508297693
3,-378.43416377682854,2259300427.388899,84299382.00000001,2175001045.3888993,80,507836123.4440002,11.989109334012028
4,-350.6071280985764,9612245292.809532,126014130.00000001,9486231162.809528,66,908061702.1699988,11.854001416999381
5,-293.9150977952446,15580145056.981588,135109630.8,15445035426.181585,106,991493176.7715513,11.989773791981861
6,-371.5947504314036,14903752726.81156,154641459.6,14749111267.211555,108,1091759560.261549,11.91357233299641
7,-333.58283248412926,16069740337.07863,164450044.8,15905290292.27863,97,954037624.7220013,11.916092958010267
8,-300.2213153495911,15061994150.007977,170503657.19999993,14891490492.807974,100,785192205.5625526,12.711860249983147
9,-277.1203048395153,14169884732.69498,156433382.9186834,14013451349.77629,52,733549779.2009994,12.351839791983366
10,-283.7372536193231,13675250797.786085,147033197.99999997,13528217599.78608,63,660440461.7909993,12.25665116700111
11,-286.26950235782834,12304494155.87329,138770510.4,12165723645.473282,71,591704045.6989988,12.099193125031888
12,-255.65728656642685,17917514205.21891,155477750.39999992,17762036454.8189,69,710639217.7217933,12.183459082967602
13,-237.29317594301375,19496838527.440853,156287620.80000007,19340550906.64085,64,749545778.1307913,11.973096708010416
14,-244.4602408185375,19634065562.72812,171822841.20000002,19462242721.52812,74,755091701.8080002,11.905217916995753
15,-219.4004238110042,21515941135.26683,173320358.40000004,21342620776.86683,65,816534984.814791,11.91679300001124
16,-231.06125658183316,20684603459.7387,173159395.19999993,20511444064.5387,60,857093999.3885857,11.972616958024446
17,-265.30609444272955,17713562138.55348,154212778.79999995,17559349359.75348,61,809200089.570586,11.944149832997937
18,-228.73436003969445,20058130808.65071,170226237.59999987,19887904571.050697,38,808111967.9645846,11.878437540959567
19,-205.78480824622102,22038240148.893616,167758109.99999994,21870482038.89362,52,848918376.4347726,11.943291415984277
20,-210.0551747143442,23023664712.816757,175586651.9999999,22848078060.816746,60,1059757152.7797712,12.343442875018809
21,-211.36231114307975,22522455156.389095,189926873.99999997,22332528282.389088,54,979959343.1257725,11.966725583013613
22,-206.9528506687217,23187824801.42604,186478084.79999995,23001346716.62603,51,977832946.6185843,12.011770125012845
23,-204.11322516483435,22468702148.616253,189591015.6,22279111133.016243,45,917778020.2891886,12.283839375013486
24,-206.7060050069559,23045222583.669197,196893525.59999996,22848329058.06918,47,986586859.7981888,12.215651875012554
25,-223.78718126581865,20937903971.925137,216946256.3999999,20720957715.525127,45,1006811974.7815855,12.400806166988332
26,-223.90294838222064,20842191834.32703,202794674.39999998,20639397159.927032,47,985845194.4801887,12.43893745803507
27,-220.6856462870549,18971225851.899223,189990903.59999996,18781234948.29922,48,895289660.6831886,12.979361959034577
28,-231.43113330549173,19968227808.38468,202998225.6,19765229582.78467,44,984939665.2421889,12.57132416695822
29,-222.22458863111385,21531261688.76593,213784646.39999998,21317477042.365925,50,959046426.2471886,13.028871166985482
30,-230.34978791680084,20922715671.922314,227108217.6,20695607454.32231,46,921186805.0737923,13.812309166998602
31,-206.03407656825325,22037402084.3366,212754675.6,21824647408.736588,44,893629779.0811878,13.245332999969833
32,-220.69883659770898,20515391505.165638,202230277.2,20313161227.965633,47,970513696.6107924,12.78081404097611
33,-193.3071753285119,23881798342.183292,228128450.39999995,23653669891.783287,44,1114500397.0737906,12.868744916981086
34,-229.14652029882762,20108304510.278416,185072155.2,19923232355.07842,50,1137275011.320186,12.876144790963735
35,-199.60566990864868,22656787689.370266,220318542.00000006,22436469147.370266,46,1149661638.6471856,12.15394391695736
36,-187.2738914751237,23208618187.434784,221734742.39999995,22986883445.03477,44,1009907964.141187,12.105360291956458
37,-157.84566540155038,26162778941.282303,227288066.40000004,25935490874.8823,48,1092502881.9347918,12.458301707985811
38,-175.80594998064515,25631036223.144485,231212764.80000004,25399823458.344467,50,1149873644.6591845,12.286541000008583
39,-176.29072543704854,23723953353.744484,220525149.59999993,23503428204.14449,50,1129911569.659187,12.45105999999214
40,-183.27173460281045,23893673504.49127,212747799.59999996,23680925704.89127,53,1123220840.0307915,12.206893208029214
41,-181.26639691344337,26516441148.186424,236099602.79999986,26280341545.38643,52,1175625047.1489995,12.039086165954359
42,-208.28204875832378,22432833206.064785,252212914.79999986,22180620291.264793,50,1104582341.7309988,12.033696500002407
43,-205.92077358848243,23039688467.022854,248076144.0,22791612323.022865,49,1134192599.6200001,12.072701875003986
44,-207.07510864414908,22622170499.31521,237583677.6,22384586821.715218,47,1094815930.2809997,12.259735958010424
45,-212.9223920707576,21860793525.22811,255565641.5999999,21605227883.62812,51,1069365373.7699989,12.295565667038318
46,-199.62179330649897,22534150724.202576,253785513.59999987,22280365210.60258,47,1138133366.2919993,12.187301750003826
47,-199.1870480871366,23486044457.492897,238341837.59999996,23247702619.892906,43,1166098812.2579994,12.060733332997188
48,-177.65082146132386,24838685337.835716,243049622.39999995,24595635715.43572,40,1183268212.315999,12.380700082983822
49,-179.15225895000077,23660779883.810028,259478337.5999999,23401301546.210033,43,1132294607.0319998,12.213472833973356
50,-154.53143778634447,26679705404.713257,269775835.1999999,26409929569.513252,40,1223377718.9769995,12.061202082957607
51,-163.6516880465864,27706532253.793777,260938576.79999992,27445593676.993767,41,1247246108.3879995,12.209969708987046
52,-151.03815487368476,28192227891.595383,259923596.3999999,27932304295.195377,46,1306693506.4139988,12.316151666047517
53,-159.75839019948774,27374225091.993782,274056418.79999995,27100168673.19378,42,1217210911.8849986,12.461339165980462
54,-150.51539656073476,27259803204.635155,241100740.7999999,27018702463.835148,44,1192716276.5119996,12.399147207965143
55,-159.24190569964134,26247094325.859234,267678082.79999992,25979416243.059227,42,1239996376.2329998,12.379166333994363
56,-154.49817667463415,27145903331.38579,258141189.59999987,26887762141.785786,46,1223401458.5029995,12.496514874976128
57,-147.8623216508374,27389129451.166275,257940003.59999985,27131189447.566257,44,1281550634.3783963,12.204806208028458
58,-170.49685270165557,27177840113.85486,275457013.2,26902383100.654854,49,1281640329.712397,12.427330208010972
59,-155.51263493046585,28592796659.236603,247749544.79999992,28345047114.436592,39,1281254230.9469995,12.398170500004198
60,-152.9757459183238,26671965182.14096,264028325.31868345,26407936856.822266,37,1177497587.790396,12.477225749986246
61,-156.79096160108983,26665434742.816483,260915137.19999993,26404519605.61646,40,1198788547.803999,12.679464541026391
62,-146.89934602142657,26329437081.50358,243588491.99999994,26085848589.503555,38,1129442496.8309982,12.495710875024088
63,-165.22538796420082,26415798759.713257,227029859.9999999,26188768899.71324,38,1500210639.2699988,12.377100292011164
64,-145.74210405319988,27828514383.61326,236717549.99999994,27591796833.613243,39,1156814267.1953957,12.69678187504178
65,-142.21789422449493,26648181348.213257,239976932.39999998,26408204415.813248,37,1113170680.7609992,12.774398709007073
66,-140.45521263281535,27839200067.298874,220198391.99999994,27619001675.298866,41,1204597202.6883955,12.40837645897409
67,-156.78312317013405,26254107489.584557,221732855.99999997,26032374633.584545,35,1429339057.4019985,13.048666000016965
68,-139.9432728833501,27154715209.91211,225814114.79999995,26928901095.112087,36,1400151618.3983963,12.544257292000111
69,-134.27998785127517,27061987768.49441,229083296.39999998,26832904472.0944,37,1359188347.4209988,12.52628079202259
70,-132.46453092834085,26979019971.435375,210427102.79999986,26768592868.635365,37,1295100818.877395,13.243524999998044
71,-126.16793957139649,27262388484.919243,226614365.99999997,27035774118.91923,35,1295627658.6453953,12.95357149996562
72,-102.82038452984283,28754194455.006992,216786625.20000002,28537407829.806984,33,1191586319.2803957,12.514133332995698
73,-99.95183481932882,28988871521.71667,233931214.80000007,28754940306.916656,31,1232308095.0723958,12.700618708040565
74,-97.27020039308306,30759720435.20054,226162479.59999987,30533557955.600533,30,1316657180.6983945,12.605938041000627
75,-100.06019826406528,29131438455.006992,217022731.19999993,28914415723.806995,29,1214555667.3821867,13.723975875007454
76,-110.98067131385044,28721765655.006992,213017349.59999993,28508748305.406994,29,1268867716.3569996,12.501860707998276
77,-127.10655464319439,27468363690.50139,226820865.5999999,27241542824.90139,31,1208765933.4709995,12.411100499972235
78,-101.86944340566988,29540085521.71667,228493241.9999999,29311592279.716667,28,1321795993.8689988,12.476647250005044
79,-102.8901256478942,30067083605.950726,216092075.31868336,29850991530.63204,26,1315568161.3789985,12.437384415999986
80,-106.26428768757948,29426961912.541016,227160334.79999986,29199801577.741005,26,1480602118.532998,12.379034125013277
81,-108.8526856866569,28598375032.23915,217220273.99999988,28381154758.239147,22,1228140699.9729993,12.271169499959797
