episode,episode_reward,episode_pnl,episode_tx_cost,episode_ahorro_cop,margin_calls_count,overhedging_penalty_kwh_sum,episode_time_sec,actor_loss,critic_loss,entropy,approx_kl
1,-494.46528087526104,10277698344.282925,1006650676.8,9271047667.482927,65,1619453727.4899933,11.834746208001889,-0.024107766423341153,23.343305136476243,2.214698553085327,0.009152274693146214
2,-519.6850997173191,4531843063.7115755,899572759.2000006,3632270304.511579,80,1464267477.8856504,11.587813457997981,-0.02935235149800844,4.706236794165203,2.2116980382374356,0.006592700639573325
3,-539.3088688574277,5657685703.630293,972606303.249766,4685079400.380532,87,1538487743.465081,11.458048124997731,-0.021682839348380056,3.9136137323720113,2.208697557449341,0.012675394314075154
4,-454.0762339982529,8921683199.327543,980016897.6000001,7941666301.727545,58,1642553170.4900649,11.61092041700249,-0.027425651591537255,2.320592345723084,2.2056963443756104,0.01111081689772878
5,-551.1676108468548,7307180738.637948,1033194909.6000005,6273985829.037938,107,1826982834.170445,11.452304333997745,-0.02868168822356633,2.4727216150079454,2.202695829527719,0.006121789595116362
6,-539.7705987323865,6113104321.6700535,1040113491.4080007,5072990830.262052,104,1729453093.584203,11.513170707999961,-0.02480040537858648,1.8864657055054392,2.1996946334838867,0.00119519126268902
7,-503.4536417200391,6619694903.398006,982008541.7186834,5637686361.679329,90,1595385897.710685,11.445581500000117,-0.023152868166965032,1.256984328159264,2.1966941356658936,0.004033102365584845
8,-500.013871203045,9638008474.622347,989831834.2080002,8648176640.414335,97,1894044392.7862542,11.149407000000792,-0.03088434594683349,2.5053412699273654,2.1936936378479004,0.005004723007056912
9,-428.6831915829539,10122519390.833519,987963743.6453665,9134555647.188156,65,1763865315.189444,11.278259708000405,-0.03078509170695075,1.406760079626526,2.19069242477417,0.008878140648760434
10,-468.4485585412703,9479436615.90286,1041750522.0000004,8437686093.902853,76,1724548978.5417373,11.337570749998122,-0.028269869554787875,1.2344946672873838,2.1876919269561768,0.005753696374761473
11,-497.9465597875269,9446341234.76972,978792619.1745102,8467548615.595216,78,1879840001.7788918,11.273498416998336,-0.027805326080748014,2.2793938678290164,2.1846914291381836,0.011215895273822492
12,-458.1487236238347,9637369293.324114,1013949364.6079992,8623419928.716122,69,1800009573.086498,11.413740916999814,-0.03241347737078156,1.5586144196135656,2.181690216064453,0.004233580011974222
13,-425.0895452156629,9672372124.048525,982502052.6851933,8689870071.36332,64,1563468772.3366516,11.615216375001182,-0.03323637849784323,0.8750265155519757,2.1786890029907227,0.014152302832475731
14,-439.13060405755033,13963282758.262167,932986327.1745102,13030296431.08765,96,2035322396.2925315,11.12803625000015,-0.026243919719542777,2.003502457376037,2.1756885051727295,0.006773541287319469
15,-449.8524135099396,9599616555.979397,956184733.0080009,8643431822.971397,92,2016164639.9280007,11.324186417001329,-0.031789642053523234,1.5313869931868145,2.1726880073547363,0.009432239018912826
16,-440.2005554616671,9175778577.818863,909253418.4000002,8266525159.418867,70,1945647626.7407048,11.220448749998468,-0.03352329064759293,1.2292302111429827,2.169686794281006,0.02120811467591141
17,-440.605624867709,9753073677.100657,949281493.1745104,8803792183.926138,91,2175308259.3682075,11.026736291001725,-0.036432401907430696,1.430434803983995,2.1666862964630127,0.01207035702464704
18,-466.9180245478981,9064565867.085686,849184423.2000004,8215381443.885684,89,2102952228.9593453,11.081868833000044,-0.034196063736453654,1.876745655494077,2.1636857986450195,0.00556899703473651
19,-424.4082669051921,10809219328.206877,956160031.1745098,9853059297.032373,83,2184173221.9096565,11.11409704199832,-0.03247189475223422,1.0646952279976436,2.1606853008270264,0.018757528899836222
20,-403.01776994371255,12791395654.511915,857779719.408,11933615935.103912,76,2163315493.8160496,10.97081816699938,-0.030553269372986896,1.3190084681979248,2.157684087753296,0.010672534485014954
