Fecha,Precio_COP/kWh_0-7,Precio_COP/kWh_7-17,Precio_COP/kWh_17-23,Precio_COP/kWh_Dia
2024-01-01,224.3291,156.02493333333334,293.7980285714285,218.97680833333334
2024-01-02,345.03999999999996,418.97749999999996,444.49178571428564,401.7733333333333
2024-01-03,428.7116,454.04493333333335,507.99731428571425,461.3365999999999
2024-01-04,500.9616,576.2671555555555,594.2731714285713,556.4170583333333
2024-01-05,608.7136,618.1498222222222,644.1401714285714,622.5849333333333
2024-01-06,625.83735,608.7136,647.9960285714286,625.8788916666666
2024-01-07,628.1216,628.7960444444444,644.8901714285714,633.26535
2024-01-08,602.1136,622.4022666666666,693.4258857142858,636.3546
2024-01-09,670.7116,695.3782666666666,706.4258857142858,690.3782666666666
2024-01-10,638.8366,669.2671555555555,695.4258857142858,666.7532666666666
2024-01-11,678.7116,690.0449333333332,690.8544571428572,686.5032666666666
2024-01-12,634.1536,684.3782666666666,679.1401714285714,666.1089333333333
2024-01-13,624.7156,667.7116,671.2830285714286,654.4212666666666
2024-01-14,602.6424750000001,615.870488888889,636.5378857142858,617.4891416666667
2024-01-15,557.282675,642.2733555555556,658.7940857142858,618.761675
2024-01-16,601.4148250000001,607.4808666666667,621.4522,609.5338250000001
2024-01-17,561.7116,590.4893777777777,611.7116,587.0866
2024-01-18,543.7116,554.6004888888888,558.8544571428571,552.2116
2024-01-19,520.8366,548.900488888889,551.1973142857142,540.2157666666666
2024-01-20,519.3741,527.4227111111111,529.6544571428572,525.3907666666667
2024-01-21,493.3366,499.7115999999999,515.4116,502.1657666666667
2024-01-22,499.4756,499.99187777777774,503.42838571428564,500.82210000000003
2024-01-23,480.5621,498.52793333333335,500.4610285714285,493.10314166666666
2024-01-24,472.82899999999995,496.5513888888888,500.2267857142857,489.7159166666667
2024-01-25,471.5866,482.8473777777778,487.18774285714284,480.35972499999997
2024-01-26,431.8991,452.23243333333335,453.0592428571428,445.69580833333333
2024-01-27,449.7116,469.3906,488.63217142857144,468.4430583333333
2024-01-28,508.8226,514.7609333333334,568.8544571428571,528.5587666666667
2024-01-29,560.655975,616.4320444444444,621.1401714285714,599.213225
2024-01-30,608.875525,643.6007888888889,650.4261857142857,634.0164416666667
2024-01-31,613.7116,653.4522666666667,659.9178857142857,642.0911833333333
2024-02-01,690.4658,695.0908,696.0908,693.8408
2024-02-02,683.8408,695.0908,693.3765142857143,690.8408
2024-02-03,640.0818,677.8614666666666,691.3765142857143,669.2101333333334
2024-02-04,584.966,613.8278888888889,668.1912857142858,620.06325
2024-02-05,549.166075,656.2925333333334,674.0306285714286,625.757325
2024-02-06,419.99992499999996,624.3048555555555,620.4635857142857,555.0828416666667
2024-02-07,541.46655,580.0908,569.233657142857,564.0493833333333
2024-02-08,195.56332500000002,529.8670888888888,568.4084857142858,429.6737416666667
2024-02-09,504.566675,516.3819111111111,527.9942285714285,515.830425
2024-02-10,513.5938,526.9014666666667,564.5193714285714,533.4374666666666
2024-02-11,538.9487999999999,529.6792444444444,559.6622285714285,541.5141333333332
2024-02-12,538.8408,582.7913555555556,594.0100857142858,571.4132999999999
2024-02-13,574.5908,604.8685777777778,609.0908,596.0074666666666
2024-02-14,556.7158,634.5156888888889,653.4416571428571,614.1024666666666
2024-02-15,550.0908,616.9796888888889,615.0908,594.1324666666666
2024-02-16,530.0908,539.8685777777778,544.9479428571428,538.0908
2024-02-17,566.3408,555.0908,580.5193714285714,566.2574666666666
2024-02-18,536.3408,536.201911111111,579.1070857142856,548.7622166666666
2024-02-19,548.8408,580.5352444444444,595.0130857142857,574.1931333333333
2024-02-20,562.12155,589.0908,594.233657142857,581.6010499999999
2024-02-21,601.19055,601.1668,599.8865142857142,600.8013
2024-02-22,422.280925,544.4545222222223,566.3073,510.1037166666667
2024-02-23,531.88395,587.3154222222223,590.8074857142857,569.8567833333333
2024-02-24,556.3408,590.7574666666666,612.9479428571428,585.7574666666666
2024-02-25,553.8408,552.8685777777778,561.0908,555.5908
2024-02-26,531.39555,572.701911111111,590.3050857142856,564.0673833333333
2024-02-27,512.184225,544.4963777777778,553.0743142857143,536.2275583333334
2024-02-28,350.144875,544.8027777777778,559.0704285714286,484.07820833333335
2024-02-29,485.86105,498.4241333333334,504.3765142857143,495.97255
2024-03-01,457.828675,492.6473555555555,504.1026571428571,484.3822583333333
2024-03-02,489.7465,491.93399999999997,508.91914285714284,496.15883333333335
2024-03-03,473.607825,467.7884222222222,485.2332,474.81628333333333
2024-03-04,443.8641,530.8305444444445,575.9533857142858,515.0025583333334
2024-03-05,513.684,547.771111111111,599.1022857142856,551.3803333333333
2024-03-06,515.09875,549.4788888888888,578.934,546.6099166666667
2024-03-07,528.934,570.1376666666666,603.0371428571428,565.9987916666666
2024-03-08,528.6825,545.3228888888889,556.7911428571427,543.121
2024-03-09,545.697875,544.3228888888889,576.196,554.0775416666667
